Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
Computer Vision & Machine Learning Research,"$77,500",3.4,Commonwealth of Virginia,"Blacksburg, VA","Industry
State & Regional Agencies",Government & Public Administration,"Job Description
Transportation is undergoing an incredible transformation that is inspiring researchers to approach problems using new technologies and non-traditional methods. At the Virginia Tech Transportation Institute (VTTI), a world-leading research enterprise, we are working with government agencies, transportation and safety organizations, vehicle manufacturers and their suppliers, and others to overcome these challenges and improve transportation safety and performance on the world’s roads. (https://www.youtube.com/watch?v=Nj4VWviw5JA).

The Division of Data & Analytics (DDA) specializes in collaboration with industry, academic, and government partners to translate large-scale data collections into robust and timely guidance and decisions. The division focuses on challenging questions at the intersection of mechanical engineering, physics, computer science, statistics, behavior, performance, safety and policy. DDA projects leverage innovative data fusion approaches, algorithmic labeling processes, and interactive visualizations to translate disparate and highly dimensional data into visible progress and understandable results. The division's goals are to provide domain expertise and state-of-the-art data and analytic methods to enable our partners to answer their questions quickly, cost effectively, and with accessible output that is ready to address their most pressing needs.
VTTI seeks a qualified engineer/ scientist with a strong background and proven research record in big data analysis, computer vision, and machine learning with an interest in transportation research. The ideal candidate is an experienced researcher with a desire to eventually take a leadership role in a growing and diverse research portfolio. The candidate must be capable of working collaboratively in multidisciplinary teams to complete transportation research projects within constraints of time and budget. The research projects mostly include development of advanced computer vision and machine learning algorithm for perception, planning, and behavior modeling.

The candidate will join the team of “Computer Vision and Machine Learning” in DDA. The focus of the team is to process multimodal data including cameras and LiDAR to develop perception and safety model. Recently, the team is closely working with technologies related to automated driving systems and autonomous vehicles. Sensor fusion, scene perception, 3D scene understanding, pedestrian behavior tracking are some of the key problems that the team work closely with. The team also works with problems related to driver behavior analysis from camera data, and intersection safety analysis using multi-sensor system. The candidate will be closely working with other team members to develop and test novel algorithms in these areas.

The candidate must be motivated to work with problems related to transportation, safety, and operation using multi modal data. The candidate must also be proficient in algorithm development, software management, and deployment using image, videos, and time series data that are applicable to safety technology and automation. The candidate must also understand the working principles of advanced computer vision and machine learning methods like CNN, RNN, GAN, Autoencoders, Transformers, and reinforcement learning.

RESEARCH ASSOCIATE RANK – Research Associates will be expected to carry out the following duties and responsibilities:
Literature reviews
Multi-modal (Camera, LiDAR) data processing
Big Data Processing
Develop and manage software
Interpret results and develop robust conclusions
Write research reports
Present research findings
Assist in the development of proposals
Assist with the conceptualization and creation of work plans, protocols, and procedures
Coordinate and collaborate with subcontractors and interface with stakeholders and sponsors as required
Must be able to work effectively independently with oversight as well as within multidisciplinary project teams as appropriate

All candidates must be able to work on-site/ in office at Blacksburg Campus for majority of the work hours (at least 4 days a week). Position may sporadically involve data collection including driving and operating test vehicles.

VTTI provides opportunities for professional advancement and a pay for performance compensation structure. The salary is commensurate with experience.
Required Qualifications
Research Associate rank will require an advanced degree in engineering, science, or related field. Demonstrated strong publication history in the field of computer vision, robotics are also encouraged to apply.

Technical:
Extensive Working experience with computer vision (e.g. perception, tracking, semantic segmentation)
Extensive knowledge and experience with training and testing of deep learning based models including CNN, RNN, AE, Transformers.
Expertise in Python
Expertise in big data analysis and high performance computing
Extensive experience in software development and management using platforms like PyTorch, Tensorflow, OpenCV (4+).
Peer reviewed publication in related field.
Must have strong communication skills and organizational skills.
Willingness to work in a fast paced, flexible research environment to solve complex problems and develop solutions that will improve safety on our nation’s roadways.

Preferred Qualifications
Previous experience in transportation research.
Working experience with 3D point cloud and LiDAR data.
Experience with Sensor fusion.
Experience with 3D perception.
Familiarity with standard dataset like WAD, Argoverse, KITTI, NuScenes.
Experience with multiple programming languages (Matlab, Python, R etc.)
Previous experience in mathematical modeling and simulation
Knowledge of Docker (or similar) environment
Knowledge of data visualization including web-based design

Appointment Type
Restricted
Salary Information
$70,000 - $85,000
Review Date
1/10/2024
Additional Information
The successful candidate will be required to have a criminal conviction check.
About Virginia Tech
Dedicated to its motto, Ut Prosim (That I May Serve), Virginia Tech pushes the boundaries of knowledge by taking a hands-on, transdisciplinary approach to preparing scholars to be leaders and problem-solvers. A comprehensive land-grant institution that enhances the quality of life in Virginia and throughout the world, Virginia Tech is an inclusive community dedicated to knowledge, discovery, and creativity. The university offers more than 280 majors to a diverse enrollment of more than 36,000 undergraduate, graduate, and professional students in eight undergraduate colleges, a school of medicine, a veterinary medicine college, Graduate School, and Honors College. The university has a significant presence across Virginia, including the Innovation Campus in Northern Virginia; the Health Sciences and Technology Campus in Roanoke; sites in Newport News and Richmond; and numerous Extension offices and research centers. A leading global research institution, Virginia Tech conducts more than $500 million in research annually.
Virginia Tech does not discriminate against employees, students, or applicants on the basis of age, color, disability, sex (including pregnancy), gender, gender identity, gender expression, genetic information, national origin, political affiliation, race, religion, sexual orientation, or military status, or otherwise discriminate against employees or applicants who inquire about, discuss, or disclose their compensation or the compensation of other employees or applicants, or on any other basis protected by law.
If you are an individual with a disability and desire an accommodation, please contact Erin Carter at erincart@vt.edu during regular business hours at least 10 business days prior to the event.

Each agency within the Commonwealth of Virginia is dedicated to recruiting, supporting, and maintaining a competent and diverse work force. Equal Opportunity Employer"
Research Fellow - AI&I Deep Learning and Computer Vision,-1,3.9,Mayo Clinic,"Rochester, MN","Industry
Health Care Services & Hospitals",Healthcare,"Why Mayo Clinic

Mayo Clinic is top-ranked in more specialties than any other care provider according to U.S. News & World Report. As we work together to put the needs of the patient first, we are also dedicated to our employees, investing in competitive compensation and comprehensive benefit plans – to take care of you and your family, now and in the future. And with continuing education and advancement opportunities at every turn, you can build a long, successful career with Mayo Clinic. You’ll thrive in an environment that supports innovation, is committed to ending racism and supporting diversity, equity and inclusion, and provides the resources you need to succeed.


Responsibilities
Multiple Research Fellow positions have become available in the Department of Artificial Intelligence and Informatics under the direction and mentorship of Dr. Hamid Tizhoosh. These positions will focus on gaining analytical skills for processing whole slide images in digital pathology, understanding the challenges of designing/training deep networks, all the while acquiring knowledge about state-of-the-art search technologies in medicine and computer vision.

The successful candidates will:
Work with world-class physicians
Learn from teamwork in multi-disciplinary settings
Work on cutting-edge clinical problems
Be exposed to the process of adopting digital pathology
Design/Train deep networks for histopathology
Analyze the bias/shortcut behavior of deep learning for clinical data
Aggregate multiple modalities for patient outcome estimation
Design and test federated learning and self-supervision schemes
A Research Fellow at Mayo Clinic is a temporary position intended to provide training and education in research. Individuals will train in the research program of a Mayo Clinic principal investigator. Qualified individuals will demonstrate the potential for research as evidenced by their training and peer-reviewed publications and should become competitive for national research grants. Proof of English proficiency is required for J-1 Short-Term Scholars, Research Scholars, Professors, Specialists, and Student Interns sponsored by Mayo Clinic.

The following is required for completeness of application:
Current curriculum vitae with bibliography
Proof of doctoral degree (copy of diploma or final transcript with English translation, if applicable) or a letter from your university's Registrar office indicating you have fulfilled all doctoral program requirements and are eligible to graduate.
Please also be prepared that you may be asked to provide three letters of recommendation to the hiring PI prior to an interview.

Exemption Status

Exempt

Compensation Detail

Experience and tenure may be considered along with internal equity when job offers are extended.

Benefits Eligible

Yes

Schedule

Full Time

Hours/Pay Period

80

International Assignment

No

Site Description
Just as our reputation has spread beyond our Minnesota roots, so have our locations. Today, our employees are located at our three major campuses in Phoenix/Scottsdale, Arizona, Jacksonville, Florida, Rochester, Minnesota, and at Mayo Clinic Health System campuses throughout Midwestern communities, and at our international locations. Each Mayo Clinic location is a special place where our employees thrive in both their work and personal lives. Learn more about what each unique Mayo Clinic campus has to offer, and where your best fit is.

Affirmative Action and Equal Opportunity Employer

As an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.


Recruiter

Katrina Frutiger"
"Research Engineer – Artificial Intelligence, Computer Vision, Machine Learning",-1,4.3,BlueHalo,"Rockville, MD","Industry
Aerospace & Defense",Aerospace & Defense,"Overview:
Why work at BlueHalo

Being on the BlueHalo team means working alongside the brightest minds in technology on the toughest challenges facing our nation – not just every once in a while, but every single day. Together, we are leading the transformation of modern warfare and each BlueHalo employee plays a key role. That’s why our investment in you goes beyond a rewarding salary and benefits package. We’re committed to providing our people with the best opportunities to develop their skills, share their knowledge, and push their innovative ideas to the cutting-edge. Having fun doing it with a team that feels like family all across BlueHalo Nation is the ultimate perk. From Space and Directed Energy to Cyber and Intelligence to C4ISR and Air & Missile Defense, there is no limit to where you can take your career with us.

Are you ready to launch a career at BlueHalo?

Overview: Research Engineer (Artificial Intelligence, Computer Vision, Machine Learning)

BlueHalo (Rockville, MD) has multiple full-time positions for a Research Engineers or a Senior/Lead Research Engineers (the position will be based on education & experience) in our Labs Sector (research & development). We are looking for outstanding self-motivated researchers who have experience in Artificial intelligence (AI), computer vision (CV), machine learning (ML) and data science. You will be working with a highly multi-disciplinary team of scientists and engineers to conduct R&D in the fields of image/video analytics, machine learning, generative models, and AI.

The desired candidates should have experience in computer vision particularly in the areas of deep learning, object detection, tracking, classification, and segmentation. A solid background in programming is important.

BlueHalo Labs - AI/ML Center of Excellence: this is the central group responsible for driving AI research and innovation across BlueHalo. With over 50 scientists and engineers, the center is dedicated to fostering innovation, cultivating knowledge, and developing new technology. We have active research and development projects where we design, integrate, test, and deploy state-of-the-art systems for a range of applications, including image and video analytics, artificial intelligence, autonomous systems, training, and simulation.
You’d like to do this:
Conduct research and development in the area of AI, computer vision, machine learning and data science
Design, implement and integrate innovative computer vision and machine learning algorithms
Interact with multiple research groups and collaborate with universities on research
Support prototype development, prototype testing, and field demonstration

CITIZENSHIP &CLEARANCE STATUS:

This position requires a successful candidate to be a US Citizenship
The ideal candidate will have an active security clearance; however, we will consider candidates without active security clearances as long as they are open to getting a security clearance

You’re required to have this:
REQUIRED EXPERIENCE & EDUCATION
Bachelor, Masters or Doctorate degree in computer science, electrical engineering, computer engineering, mathematics or another related field

REQUIRED SKILLS & EXPERIENCE
Proficiency in Python, C++, or MATLAB
Creativity and problem-solving skills
Minimum 2 years of experience with computer vision or AI/ML techniques
Familiarity with computer vision libraries and machine learning framework, such as OpenCV, PyTorch, and TensorFlow
Experience with DevOps, MLOps

The BlueHalo Effect

It speaks to who we are as a company, a global protective ring that shields everything we most want to safeguard, an unbroken line that ensures our customers retain the advantage in any battlespace, from high above the Earth to deep in cyberspace. It’s who we are, a halo, a protector, the light of inspired engineering keeping our Nation safe. Our vision is a world where national security is certain because technical superiority is assured.

Join us and become a vital element of The BlueHalo Effect!

EEO Statement

BlueHalo is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. U.S. Citizenship is required for most positions.

If you are an individual with a disability and would like to request a reasonable workplace accommodation for any part of the employment process, please send an email to Recruiting@bluehalo.com. Please indicate the specifics of the assistance needed. This option is reserved only for individuals who are requesting a reasonable workplace accommodation. It is not intended for other purposes or inquiries."
"Post Doctoral Fellow - 3D Computer Vision, ML and Robotics",-1,4.0,Saint Louis University,"Saint Louis, MO","Industry
Colleges & Universities",Education,"Who is Saint Louis University? Founded in 1818, Saint Louis University is one of the nation’s oldest and most prestigious Catholic universities. SLU, which also has a campus in Madrid, Spain, is recognized for world-class academics, life-changing research, compassionate health care, and a strong commitment to faith and service.
All About You
Who is Saint Louis University? Founded in 1818, Saint Louis University is one of the nation’s oldest and most prestigious Catholic universities. SLU, which also has a campus in Madrid, Spain, is recognized for world-class academics, life-changing research, compassionate health care, and a strong commitment to faith and service.
Job description
We are seeking a highly motivated Postdoctoral Researcher to join our team. As a Postdoc in our lab, you will have the opportunity to work on exciting projects that intersect computer vision, AI, and robotics. Engage closely with a diverse team of specialists and play a crucial role in tackling real-world challenges. Our research spans a broad spectrum of applications, including robotics, remote sensing, agriculture, and healthcare.
Key Responsibilities:
Conduct innovative research in 3D computer vision, machine learning, and AI.
Collaborate with lab members on multidisciplinary projects.
Publish research findings in top-tier conferences and journals.
Mentor and guide graduate and undergraduate students.
Assist in grant proposal writing and securing research funding.
Qualifications:
Ph.D. in Computer Science, Electrical Engineering, or a related field with a focus on computer vision, machine learning, or artificial intelligence.
Strong background in computer vision, machine learning, or autonomous systems.
Excellent programming skills (e.g., Python, C++, TensorFlow, PyTorch).
Proven track record of research publications in relevant conferences/journals.
Ability to work independently and in a team.
Effective communication and presentation skills.
What We Offer:
A collaborative and inclusive research environment.
The chance to work on cutting-edge projects with real-world impact.
Opportunities for professional growth and development.
Competitive salary and benefits package.
ADDITIONAL INFORMATION:
Applications must include: 1) a cover letter; 2) a resume/curriculum vitae; 3) one letter of recommendation from the applicant’s Ph.D. mentor. You can upload these items in the ""My experience"" section of the application under the header ""Resume or CV/Cover Letter and/or additional documents listed as a requirement in the job posting.""
Function: Research Support
Scheduled Weekly Hours: 40
Function
Research Support
Scheduled Weekly Hours:
40
Saint Louis University is an equal opportunity/affirmative action employer. All qualified candidates will receive consideration for the position applied for without regard to race, color, religion, sex, age, national origin, disability, marital status, sexual orientation, military/veteran status, gender identity, or other non-merit factors. We welcome and encourage applications from minorities, women, protected veterans, and individuals with disabilities (including disabled veterans). If accommodations are needed for completing the application and/or with the interviewing process, please contact Human Resources at 314-977-5847."
Computer Vision Scientist - Software Engineer VI,"$242,500",5.0,OKSI,"Torrance, CA","Industry
Electronics Manufacturing",Manufacturing,"As a Principal Scientist in Computer Vision (Software Engineer Level VI) you will be a key individual contributor to programs and efforts in intelligence, computer vision, machine learning, deep learning, sensor fusion, EO/IR imagery analysis, and real-time autonomous systems (e.g., UAS platforms, precision strike weapons, UGVs, etc.).

KEY RESPONSIBILITIES:
Take point on the development of state-of-the-art vision-based sensing algorithms and software solutions deployed by key government agencies and commercial companies
Research and implement computer vision and machine learning models
Design, develop, and implement applications for autonomous and imaging systems. Build prototype proof-of-concept software as well as production level software
Analyze user needs and develop solutions
Work with program manager to meet specification needs
Collaborate with other developers to design and optimize code
Create flowcharts, diagrams, and user guides for new and existing programs • Document all programming tasks and procedures
Document all programming tasks and procedures
The annual salary range for this position is $201K - $284K"
Postdoc - Computer Vision,"$90,825",3.7,Brookhaven National Laboratory,"Upton, NY","Industry
National Agencies",Government & Public Administration,"Computational Science Initiative (CSI) is establishing BNL as a global leader in tackling the challenges of Artificial Intelligence, Quantum Computing and High-Performance Computing, building on our existing expertise, capabilities, and investments in computational science and data management, and enabling scientific discovery in large-scale experimental environments. The mission of the CSI is to provide the laboratory an umbrella for research and development activities that address the computational needs of research programs both inside and outside of BNL, bringing together computer scientists domain scientists to carry out leading edge research, convert research results into practical solutions that advance domain science and provide the necessary computing infrastructure services and training to support efficient operation.
Position Description
We are actively seeking passionate and exceptional Postdoctoral Research Associates to join our dynamic team. you will play a pivotal role in advancing scientific discovery by developing cutting-edge computer vision (CV) models. You would have opportunities to work in an interdisciplinary environment and make a meaningful impact on scientific research.
Essential Duties and Responsibilities:
Innovate and develop state-of-the-art CV algorithms.
Apply CV models on scientific (imaging) data analysis.
Publish high-quality papers in the fields of computer vision, machine learning, and domain science area.
Position Requirements:
Required Knowledge, Skills, and Abilities:
Ph.D. in Computer Science, Electrical Engineering, Applied Mathematics or related disciplines.
Solid background in machine learning techniques and practical experience in computer vision applications.
Proficient programming skills and experience in one or more deep learning tools.
Proven track record of publications
Preferred Knowledge, Skills, and Abilities:
Proven record of publications in top-tier conferences/journals.
Experience with state-of-the-art (visual) foundation models.
Experience in large-scale deep learning systems and the ability to train models using GPU/TPU parallelization.
Experience in multi-modality data analysis, e.g., image, video, text, etc.
OTHER INFORMATION:
Initial 2-year term appointment subject to renewal contingent on performance and funding availability
BNL Policy requires that after obtaining a PhD, eligible candidates for research associate appointments may not exceed a combined total of 5 years of relevant work experience as a post-doc and/or in an R&D position, excluding time associated with family planning, military service, illness, or other life-changing events.
Brookhaven Laboratory is committed to providing fair, equitable and competitive compensation. The full salary range for this position is $68400 - $113250 / year. Salary offers will be commensurate with the final candidate’s qualification, education and experience and considered with the internal peer group."
Computer Vision Engineer,-1,3.8,Mujin,"Suwanee, GA","Industry
Computer Hardware Development",Information Technology,"Mujin is the future of industrial robotic systems in production and distribution environments. Our technology gives robots perception and awareness, enabling them to take on more advanced tasks. Our aim is to revolutionize the use of robotics within industry to free human resources from labor intensive tasks to focus on more intellectual challenges.

As a Computer Vision Engineer, you will be a part of the Mujin R&D team, focusing on the algorithmic design, development, and deployment of computer vision applications for high-speed recognition. You will work directly with and expand on the world’s first 3D vision system for factory automation and logistics solutions.

If you would like to apply real-time computer vision algorithms to robotics and join the industrial automation revolution, this role is for you!

Unlocking the potential of Vision Engineering: beyond deep learning for industrial robotics

Responsibilities:
Solve cutting-edge scientific and technical challenges related to recognition and pose estimation of a very wide variety of objects in challenging scenarios
Analyze and evaluate state-of-the-art algorithms related to detection and pose estimation, from both academic and industrial research, and implement and enhance them in a production environment
Design, develop and evaluate the performance of highly scalable and accurate real-time computer vision applications in Python and C/C++
Perform detailed tests, carry out performance analysis on algorithms, and use continuous integration tools to finely enhance the rapidly deployed algorithms
Requirements:
3+ years of applied computer vision experience
Graduating/graduated from Computer Science with a MS or Ph.D.
Ability to develop applications and tools in Python and/or C++
Preferred:
3D pose estimation of textured and texture-less objects in cluttered scenes
Broad experience with computer vision libraries
Mathematical background
Previous contributions to open-source projects
Experience in object tracking, SLAM, computer graphics, augmented reality, machine learning, or robotics projects
About the Role:
You'll work directly with researchers from the world’s top-tier universities and labs in robotics, computer vision, and image and signal processing. The team includes Ph. D. and MS grads from Carnegie Mellon, Stanford, and more.
Mujin has the most active real-world deployments of industrial computer vision systems. That means you won't be working in a vacuum
-you'll have access to the largest set of customer feedback data in this industry globally.
Our computer vision algorithms are robust enough to run on 24/7 systems, handling thousands of items per customer, for diverse customers and applications. The challenges of enlarging its capabilities toward more autonomy, scalability, and diversity of applications mean you will never stop learning at Mujin.
Since our expansion to North America, we have encountered substantial demand for our groundbreaking robotics technology. If you're seeking a job in cutting-edge robotics and automation, Mujin offers an exciting opportunity to work with state-of-the-art technology and be at the forefront of the industry's advancements. As part of the Mujin team, you will have the opportunity to work with some of the leaders in the robotics space, as we work together to change the face of industrial automation.

EEO Statement
Mujin Corp. is committed to providing equal employment opportunities for all employees and applicants, without regard to race, religion, color, sex, sexual orientation, gender identity or gender expression, national origin, age, pregnancy, physical or mental disability if the individual is otherwise qualified, genetic information, military or veteran status, marital status, familial status, parental status, HIV/AIDS status, sickle cell trait, DNA analysis, or any other protected characteristics as governed by federal, state, and local laws. This policy applies to all the Company activities, including hiring, placement, promotion, discipline, termination, compensation, and training."
"Software Engineer, Pixel Camera 3A/ISP, Computer Vision",-1,-1,Google,"San Diego, CA",-1,-1,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Mountain View, CA, USA; San Diego, CA, USA.
Minimum qualifications:
Bachelor’s degree or equivalent practical experience.
5 years of experience with software development in one or more programming languages, and with data structures/algorithms.
3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
Experience in computer vision, graphics, machine learning, or computational imaging.

Preferred qualifications:
Master's degree or PhD in Computer Science or related technical field.
Experience working with two or more from the following: web application development, Unix/Linux or Windows environments, distributed systems, machine learning, information retrieval, network programming and/or developing large software systems, security software development, mobile application development, natural language processing.
Experience programming in C++, Java, or Python.
About the job
The Pixel Camera team works with the full product lifecycle, from research, developing the algorithms, and prototyping, to commercialization. Our team's work goes directly into Pixel phones. Specifically, this team focuses on auto focus, depth computing, and other advanced computational photography features. We keep cameras sharp and clear by developing and supporting exceptional computational photography features for Pixel cameras.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.
The US base salary range for this full-time position is $157,000-$235,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.

Responsibilities
Research and develop 3A (auto focus, auto exposure, auto white balance), ISP (image signal processor), and other computational photography/computer vision features, such as depth map, tracking, saliency, and scene understanding, that are mobile friendly.
Conduct new feature development, productization, and system specification through software prototyping, simulation, and image quality characterization.
Work with cross-functional teams such as Hardware, Research, and Chip Design.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form."
AI Researcher (USA),-1,-1,Leonardo.Ai,Remote,-1,-1,"Leonardo.Ai is seeking an AI Researcher to join our expanding, global AI team.

This is an exciting opportunity for AI or Machine Learning professionals and academics to join the brightest minds, helping Australia’s most potent AI-powered platform unleash the world’s creativity.

The role:
We are passionate about doing foundational AI (deep learning) research. We strive to integrate our breakthroughs into our platform to enhance the experience for our users.
In this position, you'll ethically investigate, design, and train cutting-edge foundational AI models, all while exploring methods to empower users with greater authority and influence over their digital art creations.

About us:
Leonardo.Ai is an AI-powered platform from Australia that enables users to create high-quality visual assets for various projects with unprecedented speed. It offers image generation, AI canvas, and 3D texture generation.
Since launching in December 2022, we’ve amassed over 7 million users, generating 100s millions of images.

What you'll do:
Own complex problems, lead your specific area and integrate new research work into the pipeline and workflow.
Collaborate with the entire team to own a collective problem
Ensure that Research and Product are closely aligned to have a better impact on the customer
Developing and maintaining AI models, exploring, debugging, and validating AI models.
Ensuring that AI systems are working as intended and trust learning from software engineering best test practices
Improve data access, using generative AI, and developing a pro-innovation approach to AI regulation

Skills we like:
Experience in Python, deep learning frameworks, cloud computing, and software engineering
Knowledge of natural language processing, computer vision, ML model training, and data pipeline model creation.
Team player attitude capable of collaborating with cross-functional teams
Curious and stays on top of new and changing tools and techniques in the AI space.
Ph.D. in AI, experience in data, ML, and AI research,
Written research papers in NLP or CV and contributions to open-source AI code or repos
If you're passionate about reading and publishing AI research papers, have a history of implementing AI models (open source/ proprietary), and are keen for exposure to bringing models to production, this role might be the perfect fit for you.
Why Leonardo Ai?
Impact the Future of AI: Contribute to a unique opportunity to revolutionise content creation and build a platform at the forefront of generative AI.
Hybrid and Remote Options: We understand that flexibility is key. Choose a work arrangement that suits your lifestyle and allows you to do your best work. Our hybrid team members gather in the office 1-2 times per week on average, and we cater lunch on Fridays.
Sydney Headquarters: Our stunning office overlooking Neutral Bay serves as a collaborative space where teams come together to ideate, innovate, and build lasting relationships.
Diversity and Inclusion: We recognise that diversity is a superpower. We actively seek individuals from varied backgrounds, experiences, and perspectives to join our team. We believe in creating an inclusive environment where every voice is heard, valued, and contributes to our collective success.
What to expect during your interview process with us
While we love technology, rest assured our interview process is all human! Your application will be reviewed by a member of our recruitment team and we'll be in touch either way to let you know the outcome. Here's what you can expect:
Meet your recruiter: your friendly recruiter will schedule a 30 minute screening call with you to find out why you're interested in Leonardo and learn more about your experience so far.
Technical challenge: if you're applying for a technical role, there may be a short challenge to complete before moving to the next stage.
Meet your hiring manager: you'll spend time with the hiring manager for the role where they'll discuss your experience in depth with you.
Leadership interview: you'll meet someone from the leadership team at Leonardo as a final stage.
If there are any adjustments we can make that would make you more comfortable at any point of the interview process, please don't hesitate to let us know."
"Research Engineer, Computer Vision and Multimodal - FAIR","$173,500",3.9,Meta,"New York, NY","Industry
Internet & Web Services",Information Technology,"We are looking for an experienced Research Engineer to join our computer vision/multimodal perception team in FAIR. Our team is pushing the frontiers for multimodal perception, motivated by the future of augmented reality and mixed reality. We address fundamental research challenges and explore creative new experiences that they will enable.We are looking for an AI research engineer to join our team, particularly with background in computer vision, multimodal perception, NLP, or HCI+perception. Important problem areas include first-person or “egocentric video, joint video and language learning, video-conditioned large language models, human-computer interaction in AR, 3D reconstruction and visualization, fine-grained activity recognition, and video temporal segmentation and alignment.Responsibilities include leading, collaborating, and executing on research that pushes forward the state of the art; contributing to experimental design, implementation, evaluation, and reporting results; working with and creating large datasets and benchmarks.


Research Engineer, Computer Vision and Multimodal - FAIR Responsibilities:
Leading, collaborating, and executing on research that pushes forward the state of the art
Contributing to experimental design, implementation, evaluation, and reporting results
Working with and creating large datasets and benchmarks



Minimum Qualifications:
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
Masters in computer science, computer engineering, or relevant technical field
3+ years of industry experience in computer vision and/or machine learning
Research experience in one or more of these areas: computer vision, multimodal perception, NLP, or HCI+perception
Experience writing software and executing complex experiments
Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment



Preferred Qualifications:
PhD in computer vision and/or machine learning or related areas
4+ years of industry, academic, or government lab experience in computer vision and/or machine learning
Publication record in top-tier venues (ICCV, CVPR, NeurIPS, ICML, ACL, NAACL, CHI, ISMAR, UIST, VR, etc.)
Experience with frontend and backend development, React AR, graphics and 3d rendering, Unity, Unreal engine, real-time on-device experience development, and/or mobile device development



About Meta:
Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.


Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Meta participates in the E-Verify program in certain locations, as required by law. Please note that Meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment.

Meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
