Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
Software DevOps Engineer,"$129,375",3.5,Ancestry,"Lehi, UT","Industry
Internet & Web Services",Information Technology,"About Ancestry:
When you join Ancestry, you join a human-centered company where every person’s story is important. Ancestry®, the global leader in family history, empowers journeys of personal discovery to enrich lives. With our unparalleled collection of more than 40 billion records, over 3 million subscribers and over 23 million people in our growing DNA network, customers can discover their family story and gain a new level of understanding about their lives. Over the past 40 years, we’ve built trusted relationships with millions of people who have chosen us as the platform for discovering, preserving and sharing the most important information about themselves and their families.

We are committed to our location flexible work approach, allowing you to choose to work in the nearest office, from your home, or a hybrid of both (subject to location restrictions and roles that are required to be in the office- see the full list of eligible US locations HERE). We will continue to hire and promote beyond the boundaries of our office locations, to enable broadened possibilities for employee diversity.

Together, we work every day to foster a work environment that's inclusive as well as diverse, and where our people can be themselves. Every idea and perspective is valued so that our products and services reflect the global and diverse clients we serve.

Ancestry encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants. Passionate about dedicating your work to enriching people’s lives? Join the curious.
When you join Ancestry, you join a human-centered company where every person’s story is important. Ancestry®, the global leader in family history, empowers journeys of personal discovery to enrich lives. With our unparalleled collection of more than 40 billion records, over 3 million subscribers and over 23 million people in our growing DNA network, customers can discover their family story and gain a new level of understanding about their lives. Over the past 40 years, we’ve built trusted relationships with millions of people who have chosen us as the platform for discovering, preserving and sharing the most important information about themselves and their families.

We are committed to our location flexible work approach, allowing you to choose to work in the nearest office, from your home, or a hybrid of both (subject to location restrictions and roles that are required to be in the office- see the full list of eligible US locations HERE). We will continue to hire and promote beyond the boundaries of our office locations, to enable broadened possibilities for employee diversity.

Together, we work every day to foster a work environment that's inclusive as well as diverse, and where our people can be themselves. Every idea and perspective is valued so that our products and services reflect the global and diverse clients we serve.

Ancestry encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants. Passionate about dedicating your work to enriching people’s lives? Join the curious.
Ancestry is actively seeking a Software Engineer to join our dynamic and diverse team. You'll become part of a talented group of developers and product managers who have collectively crafted some of the world’s most captivating products, establishing us as the global leader in two critical categories: family history and consumer genetic testing.
In this role, you will play a key role in advancing our category-leading Ancestry Genealogy product. This position offers numerous opportunities for professional growth and advancement, providing hands-on experience in writing RESTful web services using Java, as well as managing scalable resources through AWS.
What you will do...
Design, develop, and deploy scalable web services using Java.
Actively seek ways to enhance and optimize existing processes.
Extract insights from existing data and suggest additional sources for continuous improvement.
Manage resources using Amazon Web Services and container technologies.
Perform necessary DevOps tasks, including deployment configuration, resource provisioning, security testing, and stack monitoring.
Collaborate closely with cross-functional teams such as Product Management, Data Analytics, and Data Science.
Consistently write comprehensive tests for all developed code.
Work within a collaborative Agile environment (SCRUM) and take a leadership role in scrum ceremonies, including grooming, planning, and daily stand-up meetings.
Who you are...
Holds a BS in Computer Science, Engineering, a related technical discipline, or equivalent experience.
Brings 2+ years of related experience to the table.
Demonstrates strong Java and OOP skills with experience in Spring Boot.
Possesses development experience with REST, JSON, and Microservices.
Exhibits solid knowledge of relational databases and performance tuning.
Has developed applications in public clouds, preferably in AWS.
Has designed, configured, deployed, and managed containerized cloud stacks using technologies like Docker, K8s, EKS.
Helping people discover their story is at the heart of ours. Ancestry is the largest provider of family history and personal DNA testing, harnessing a powerful combination of information, science and technology to help people discover their family history and stories that were never possible before. Ancestry’s suite of products includes: AncestryDNA, AncestryProGenealogists, Fold3, Newspapers.com, Find a Grave, Archives.com, and Rootsweb. We offer excellent benefits and a competitive compensation package. For additional information, regarding our benefits and career information, please visit our website at http://ancestry.com/careers
As a signatory of the ParityPledge in Support of Women and the ParityPledge in Support of People of Color, Ancestry values pay transparency and pay equity. We are pleased to share the base salary range for this position: $104,400- $154,350 with eligibility for bonus, equity and comprehensive benefits including health, dental and vision. The actual salary will vary by geographic region and job experience. We will share detailed compensation data for a specific location during the recruiting process. Read more about our benefits HERE.

Note: Disclosure as required by sb19-085(8-5-20) and sb1162(1-1-23)
#GDSponsored
#IND2
#LI-MK1
#LI-Remote

Additional Information:
Ancestry is an Equal Opportunity Employer that makes employment decisions without regard to race, color, religious creed, national origin, ancestry, sex, pregnancy, sexual orientation, gender, gender identity, gender expression, age, mental or physical disability, medical condition, military or veteran status, citizenship, marital status, genetic information, or any other characteristic protected by applicable law. In addition, Ancestry will provide reasonable accommodations for qualified individuals with disabilities.
All job offers are contingent on a background check screen that complies with applicable law. For San Francisco office candidates, pursuant to the San Francisco Fair Chance Ordinance, Ancestry will consider for employment qualified applicants with arrest and conviction records.
Ancestry is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at Ancestry via-email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of Ancestry. No fee will be paid in the event the candidate is hired by Ancestry as a result of the referral or through other means.

Additional Information:
Ancestry is an Equal Opportunity Employer that makes employment decisions without regard to race, color, religious creed, national origin, ancestry, sex, pregnancy, sexual orientation, gender, gender identity, gender expression, age, mental or physical disability, medical condition, military or veteran status, citizenship, marital status, genetic information, or any other characteristic protected by applicable law. In addition, Ancestry will provide reasonable accommodations for qualified individuals with disabilities.
All job offers are contingent on a background check screen that complies with applicable law. For San Francisco office candidates, pursuant to the San Francisco Fair Chance Ordinance, Ancestry will consider for employment qualified applicants with arrest and conviction records.
Ancestry is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at Ancestry via-email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of Ancestry. No fee will be paid in the event the candidate is hired by Ancestry as a result of the referral or through other means."
Junior DevOps,-1,3.8,PARKER HOUSE MANUFACTURING CO INC,Eastvale,"Industry
Machinery Manufacturing",Manufacturing,"This is an in-office role, located in Eastvale, CA. Not a remote role.
The Junior DevOps will be responsible for Building and implementing new development tools and infrastructure, understanding the needs of stakeholders and conveying them to developers, and working on ways to automate and improve development and release processes. This includes testing and examining code written by others and analyzing results, ensuring that systems are safe and secure against cybersecurity threats, and identifying technical problems and developing software updates and fixes.

Responsibilities

Deploy updates and fixes, and provide technical support
Work with software developers and software engineers to ensure that development follows established processes and works as intended
Plan projects and be involved in project management decisions
Build tools to reduce occurrence of errors and improve customer experience
Develop software to integrate with internal back-end systems
Perform root cause analysis of production errors and resolve technical issues
Develop scripts
Design procedures for system troubleshooting and maintenance"
DevOps Engineers,-1,-1,Artera Technologies,"Annapolis Junction, MD",-1,-1,"Level(s): Mid, Senior, Principal
Job Type: Full Time
Location(s): Maryland (Annapolis Junction / Fort Meade area)
Security Clearance: TS/SCI with Full Scope Polygraph

LCAT Description:
The DevOps Engineer shall be responsible for performing System Integration activities including installation, configuration, and sustainment of FOSS/COTS/GOTS software tools, packages, and libraries in a Linux environment. The DevOps Engineer must be detailed oriented, have strong organizational skills, and excellent troubleshooting skills to include the identification and resolution of issues, problems, and trouble tickets related to the same.

Education:
Bachelor’s degree in system engineering, Computer Science, Information Systems, Engineering Science, Engineering Management, or related discipline. Additional years of experience in lieu of a degree may be accepted on select contracts.

Skills & Experience:
Experience using the Linux CLI
Experience developing and maintaining scripts using Bash/Python
Experience installing, configuring, and supporting COTS/GOTS/FOSS software, libraries, and packages in a Linux environment
Experience with containerization technologies such as Docker and containerd
Experience with NoSQL technologies such as MongoDB, Elasticsearch, and Accumulo
Experience with container orchestration technologies such as Kubernetes
Experience administering Kubernetes clusters on bare metal in a Linux environment
Experience with IaC (Infrastructure as Code) concepts, principles and automation tools such as Ansible and Terraform
Experience with CI/CD principles, methodologies, and tools such as GitLab CI

Desired:
Familiarity with Site Reliability Engineering (SRE) principles and applications
Experience with Linux cluster/node monitoring tools
Experience with the Atlassian Tool Suite (JIRA, Confluence)
Experience with Git Version Control System

To apply, please visit www.arteratech.com or email your resume to staffing@arteratech.com.
Artera Technologies provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, national origin, marital status, age and/or disability.
uzeXnNaR28"
Contractor - Candidate Experience Specialist,$29.83,4.1,GitLab,Remote,"Industry
Enterprise Software & Network Solutions",Information Technology,"The GitLab DevSecOps platform empowers 100,000+ organizations to deliver software faster and more efficiently. We are one of the world’s largest all-remote companies with 2,000+ team members and values that foster a culture where people embrace the belief that everyone can contribute. Learn more about Life at GitLab.
An overview of this role
This is a 4-month contract position located in the US in either Pacific or Mountain Time.
The GitLab Candidate Experience Specialists work to create positive experiences for GitLab candidates and hiring teams. In a growing fast-paced environment, the Candidate Experience Specialist is a dynamic team member who helps create an amazing candidate experience, improve our existing hiring practices, and deliver exceptional results to our hiring teams. GitLab strives to be a preferred employer and relies on the Candidate Experience Specialists to act as brand ambassadors by embodying the company values during every interaction with potential team members. The Candidate Experience Specialist is enthusiastic about working with high volume and is dedicated to helping GitLab build a qualified, diverse, and motivated team. The Candidate Experience Specialist reports to the Manager, Candidate Experience.
Don’t have a ton of knowledge about GitLab yet? Don’t worry. We have an extensive onboarding and training program at GitLab and you will be provided with necessary DevOps and GitLab knowledge to fulfill your role.
What you’ll do
Collaborate with Recruiters, hiring teams and Recruiting leadership to understand and implement the hiring plan for each job requisition
Coordinate with the Recruiters to maintain correct process information in the Applicant Tracking System (ATS) and GitLab repositories
Build and update an effective network of internal and external resources to call on as needed
Ensure candidates receive timely, thoughtful and engaging messaging throughout the hiring process
Work in Applicant Tracking System (ATS) to help recruiters maintain a positive candidate experience for candidates
Helps manage candidate traffic for all roles
Act as the Recruiting Coordinator for the interview process
Create and stage employment contracts for candidates receiving an offer of employment on behalf of the hiring manager and recruiter
Work to create a seamless handoff of new team members to the People Operations Specialist team
Promote our values, culture and remote only passion
What you’ll bring
Desire to learn about Talent Acquisition and GitLab from the ground level
Demonstrated ability to work in a team environment with a focus on delivering an excellent candidate experience
Ambitious, efficient and consistent under tight deadlines and competing priorities
Proficient in Google Workspace
Ability to build relationships with team members, hiring managers and colleagues across multiple disciplines and timezones
Outstanding written and verbal communication skills
Willingness to learn and use software tools
Organized, efficient, and proactive with a keen sense of urgency
Excellent communication and interpersonal skills
Ability to recognize and appropriately handle highly sensitive and confidential information
Prior experience using an Greenhouse or Prelude is a plus
Experience working remotely is a plus
Share our values and work in accordance with those values
Also, we know it’s tough, but please try to avoid the confidence gap. You don’t have to match all the listed requirements exactly to be considered for this role.
How GitLab will support you
All remote, asynchronous work environment
Please note since this is a contract role, this position is not eligible for benefits or equity.

The base salary range for this role’s listed level is currently for residents of listed locations only. Grade level and salary ranges are determined through interviews and a review of education, experience, knowledge, skills, abilities of the applicant, equity with other team members, and alignment with market data. See more information on our benefits and equity. Sales roles are also eligible for incentive pay targeted at up to 100% of the offered base salary.
Colorado/Washington pay range
$22.88—$36.78 USD
California/New York/New Jersey pay range
$22.88—$36.78 USD
Country Hiring Guidelines: GitLab hires new team members in countries around the world. All of our roles are remote, however some roles may carry specific location-based eligibility requirements. Our Talent Acquisition team can help answer any questions about location after starting the recruiting process."
AWS DevOps,-1,-1,NST Cyber,Remote,-1,-1,"As a DevOps Engineer you will be responsible for implementing application solutions both in the cloud as well as participating in technical research and development to enable continuing innovation within the DevOps space

KEY RESPONSIBILITIES
Implement scalable, resilient, and secure solutions in the public cloud, especially in AWS.
Participate in automation initiatives to streamline processes, improve efficiencies and reduce hosting cost.
Work closely with Product Owner, Platform Team, Solution Architects and development teams for continuous improvement
Enhance and drive automation and ""Infrastructure as Code"" delivery.
Deliver cloud projects in an Agile environment.
Ability to analyze and troubleshoot complex software and infrastructure issues and develop tools/systems for task automation.
BAU Support as needed.
Responsible for managing and upgrading DevOps toolsets.
Maintaining 100% automation coverage of application build and deploy using cloud-native services and containers.

Skills & Qualifications

At least 3 to 5 years’ experience working with AWS.
Solid experience in designing and implementing complex DevOps and CI/CD pipeline (Bitbucket pipelines, GitHub, etc.)
Experience of designing and developing continuous integration build, test and deployment environments using modern cloud-based tools and techniques including AWS CloudFormation / Terraform, AWS SAM, Docker / Kubernetes.
Knowledge CloudFormation and third-party automation (Terraform).
Solid in-depth experience with below tech stack
AWS Cognito & IAM
AWS EKS, ECS, Kubernetes & other Container technologies
AWS Networking services like NAT Gateway, Transit Gateway, API Gateway, ELB, CloudFront, Route53 etc
Core AWS infra and platform architecture such as Multi Account Organizations, VPCs etc
AWS Storage services like S3, EFS
AWS Certificate Manager, Secrets Manager
Logging and Monitoring services like AWS CloudTrail, CloudWatch, Guard Duty etc.
Familiarity or understanding of Data Encryption and other security protocols.

NetSentries is an Enterprise Cyber Security Assessor serving Global Banks and Forbes 2000 companies across four continents. We serve our customers by continuously identifying Cyber Risks and enabling Blue teams with Threat Informed Defensive capabilities to protect their organizations better."
DevOps,-1,4.3,Trace3,"Irvine, CA","Industry
Information Technology Support Services",Information Technology,"Thank you for your interest in Trace3's DevOps team! Please note that we will be much quicker in responding to you if you are interested in a specific job - this bucket is just not reviewed as often. If you are not sure what to apply for, just note that in your application. If all else fails, go ahead and submit your application here!
***To all recruitment agencies: Trace3 does not accept unsolicited agency resumes/CVs. Please do not forward resumes/CVs to our careers email addresses, Trace3 employees or any other company location. Trace3 is not responsible for any fees related to unsolicited resumes/CVs.

#LI-Remote"
DevOps Programmer,"$117,500",3.5,Bethesda Game Studios,"Rockville, MD","Industry
Video Game Publishing",Media & Communication,"Overview
Join Constellation!
Come join Bethesda Game Studios, the award-winning development team behind Starfield, The Elder Scrolls and Fallout. Bethesda Game Studios strives to offer its employees a well-balanced home and work life by providing competitive salaries, a generous benefits program, and offices located in some of North America’s best cities.
With a goal of creating a culture as fun and diverse as our games and our players, we welcome applicants with unique skillsets, experience levels and backgrounds. If you are passionate about making a meaningful contribution to some of the most significant games in the industry we’d love to hear from you!
Responsibilities
Your Daily Life at Bethesda Game Studios
As DevOps Programmer, you will...
Be part of a small team that is responsible for running the AWS infrastructure for the development and production environments for Bethesda Game Studios projects
Assist with and manage microservices in multiple clouds
Accurately estimate your schedule and deliver high quality work on that schedule
Qualifications
What Makes You S.P.E.C.I.A.L.
You have previous experience building and running distributed applications in AWS
You are an expert in Linux (Ubuntu, RedHat, Debian)
You are comfortable writing code in Python
You have experience with Infrastructure as Code (IaC)
You have strong experience using configuration management solutions (Salt, Puppet, Chef, Ansible)
You have experience using source control for code management (Git, Perforce, SVN, etc.)
You possess strong interpersonal and problem-solving skills
Preferred Skills
Bonus Skills
You have experience with AWS
VPC and network design
CloudFormation
Autoscaling
ECS
ELB
Fargate
You have experience with Azure
You have experience with Jenkins
You have experience with Docker
Salary Range
Senior DevOps Engineer - The typical base pay range for this position at the start of employment is expected to be between $75,000 - $160,000 per year.

ZeniMax has different base pay ranges for different work locations within the United States, which allows us to pay employees competitively and consistently in different geographic markets. The range above reflects the potential base pay across the U.S. for this role; the applicable base pay range will depend on what ultimately is determined to be the candidate’s primary work location. Individual base pay depends on various factors, in addition to primary work location, such as complexity and responsibility of role, job duties/requirements, and relevant experience and skills. Base pay ranges are reviewed and typically updated each year. Offers are made within the base pay range applicable at the time.
At ZeniMax certain roles are eligible for additional rewards, such as merit increases and discretionary bonuses. These awards are allocated based on individual performance and are not guaranteed. Benefits/perks listed here may vary depending on the nature of employment with ZeniMax and the country work location. U.S.-based employees have access to healthcare benefits, a 401(k) plan and company match, short-term and long-term disability coverage, basic life insurance, wellbeing benefits, paid vacation time, paid sick and mental health time, and several paid holidays, among others.
We embrace diversity, equity, and inclusion in everything we do – from recruiting for our studios, publishing and operations to fostering safe and respectful workplaces that encourage collaboration. Our culture is based on principles of respect, inclusion, and fair treatment and we welcome anyone into our family without regard to race, religion, gender identity, sexual orientation, or age.
Our diversity fuels our innovation and inspires us to create game worlds that bring us closer to the global community of players we serve."
DevOps Mentor (Part-time),$48.50,4.3,Pathrise,United States,"Industry
Education & Training Services",Education,"What is Pathrise?
Pathrise (YC W18) connects job seekers across North America to world class industry mentorship and career coaching to help them land a new career. The program is free upfront and our customers pay us back when they’re hired.

Built around aligned incentives, we help build equity in the job search process by providing 1-on-1 mentorship, training, and a platform to uplift job seekers and ultimately, help them fulfill their hopes, ambitions, and livelihoods. We’ve already helped more than a thousand fellows land meaningful jobs, and helped them earn over $100M in salary.

In 2022 we raised our Series B and there is even more exciting growth on the horizon. That year we expanded from 6 to 14 industries, launched a tiered pricing system with differentiated product offerings, and much more.

Our Mission
Our mission is to help people everywhere build their careers by being the world’s best career agency.

We believe the job search system is broken and can be fixed with a business model that acts on behalf of the job seeker, instead of on behalf of employers, recruiters, or schools. If this sounds interesting to you, we look forward to hearing from you!

Read more about our mission in our manifesto.

The Role

In addition to fostering career growth for individuals, Pathrise has had x YoY growth with a 98% placement rate and with expanding tracks in various industries. With over 2,000 fellows placed everywhere from Facebook to Google, Microsoft, Amazon, Uber and startups, we are looking to expand our team in our SWE track.

As a part time DevOps mentor, you will be responsible for fellow success by helping them develop their technical interviewing skills through a variety of online sessions. You will work cross-functionally with our career mentors to provide up-to-date, relevant information to help our fellows not only pass interviews but gain confidence in their abilities!

Note: we hire for part-time industry mentors on a rolling basis contingent on need, which fluctuates. We encourage you to apply and if your experience is a match, a member of our team will reach out when a spot opens up, which happens often.
Responsibilities
Provide 1-on-1 mentorship on your own schedule (minimum 10 hour/wk commitment)
Mentors will need to commit a few hours per week preparing materials, leveraging existing Pathrise curriculum content and responding to fellow’s emails
Work alongside Pathrise Mentors and learn how to best meet the needs and learning styles of your fellows
Guide fellows through both technical and behavioral aspects of the job search, such as technical interview prep, discussing technical requirements of their background, and more
Facilitate a thoughtful and inclusive environment for all fellows to learn and grow in their technical skills to achieve great results and land the job of their dreams!
Qualifications
You are excited at the chance to shape the skills, minds, and trajectories of the newest generation of DevOps Engineers
You have a good understanding of the current requirements of DevOps, interviewing standards, have interviewed IT/DevOps candidates and/or sat on hiring committees before
You have at least 3 years of DevOps experience (prior teaching experience is a plus)
You have fluency and expertise in: development and operations, coding, infrastructure management, system administration, and DevOps toolchains
What’s in it for You?
Be a mentor to individuals who want to break into or accelerate their career in DevOps
Build relationships with fellows and really make a difference to their careers and lives!
Flexible schedule and remote work (US & Canada preferred)
Be a part of a really fun and mission driven organization!
Compensation for Industry mentor roles is paid on a per session basis, with sessions ranging from 30 min ad hocs to 1 hour workshops. Pay ranges from $42 - 55/hr and is contingent upon session type and mentor experience.
Unfortunately, we cannot accept applicants who are currently on an H1B visa, as this is a 1099 role.

Pathrise is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Pathrise does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Pathrise also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Pursuant to the San Francisco Fair Chance Ordinance and other similar state laws and local ordinances, and its internal policy, Pathrise will also consider for employment qualified applicants with arrest and conviction records.

If you are also interested in the fellowship, please apply here: https://www.pathrise.com/apply."
AWS DevOps,-1,-1,Infomatics,United States,-1,-1,"Key Experience (as a Developer)-
5+ years of experience working as a professional software developer
Experience deploying AI solutions/applications in AWS cloud
Experience choosing and writing machine-learning models for deployment at scale.
Strong scripting and intermediate Python, Shell, SQL experience.
Experience with CI/CD and DevOps automation such as Jenkins
Experience with AWS services such as Sagemaker, Lambda, SQS, SNS, Athena, Glue, and ECR
Experience with DevOps automation such as Terraform
Prior experience on AI, Machine Learning/Deep Learning
Experience with monitoring tools such as AWS CloudWatch, Datadog or Splunk
Desire to work in a collaborative environment focusing on continuous learning; code review, and pair programming
Good to have experience (as a DevOps)-
Cloud/DevOps/MLOps engineer with an interest in AI
Working experience of AWS services with IAM policy and role management."
Sys/DevOps Engineer,-1,-1,Pluto Health,Remote,-1,-1,"Sys/DevOps Engineer
(Remote)
Who we are:
Pluto Health strives to coordinate care and increase access to needed resources for people by leveraging quick access to data and insights in minutes and then bringing together care coordination activities. Our team brings together siloed medical data, evaluates it, and works to address gaps in care for patients. What is unique about Pluto is that it applies automated processes on behalf of patients, so recall is minimized—no need to remember names of doctors, health centers, or recall portal log-ins to get needed information; our team evaluates health opportunities and works to address health gaps. We are among the few companies linking siloed data across health sectors and bridging care. We are committed to patient privacy, promising never to monetize and share patient data without their consent and transparency with who data is shared. We aim to give patients complete control of their data.
Our why – We believe that every person has a chance to thrive.
About the Role:
Pluto Health is seeking a highly skilled and motivated Systems/DevOps Engineer to join our dynamic team. As a Systems/DevOps Engineer, you will be responsible for ensuring the smooth operation and continuous improvement of our company's infrastructure and systems. Your primary goal will be to automate processes, optimize the infrastructure, and maintain high availability and performance of our applications.
Key responsibilities include:
Design, implement, and maintain scalable and secure infrastructure systems.
Automate deployment, configuration, and monitoring processes to ensure efficient and reliable system operation.
Collaborate with cross-functional teams to identify and resolve system issues, ensuring the highest level of availability and performance.
Develop and implement strategies for system backup, disaster recovery, and business continuity.
Monitor system performance metrics and proactively optimize systems to enhance efficiency and reduce downtime.
Install, configure, and maintain various system tools, applications, and frameworks.
Collaborate with development teams to streamline software delivery and improve the overall development workflow.
Stay up to date with the latest industry trends and best practices in system administration, infrastructure automation, and DevOps methodologies.
Provide support and troubleshooting for system-related issues, ensuring timely resolution and minimal disruption to the business.
Qualifications for the role:
Bachelor's degree in Computer Science, Engineering, or a related field.
Proven experience as a Systems Engineer, DevOps Engineer, or similar role for a minimum of three years.
Solid understanding of system administration, networking, and security principles.
Proficiency in scripting languages such as Bash, Python, or PowerShell.
Experience with infrastructure automation tools like Ansible, Chef, or Puppet.
Hands-on experience with cloud platforms like AWS, Azure, or Google Cloud.
Certification in DevOps, AWS, or other related technologies.
Experience with CI/CD pipelines and tools like Jenkins, GitLab, or Azure DevOps.
Knowledge of monitoring and logging solutions like Prometheus, Grafana, ELK Stack, or Splunk.
Familiarity with Agile development methodologies.
What you get:
Join one of the fastest-growing, venture-backed health tech companies
Work alongside a world-class team
Be part of the solution: improve the way care is delivered for millions of patients
Competitive salary and employee equity options, with benefits including health, dental, and vision coverage, flexible PTO, and a matched 401(k) plan
Pluto Health is committed to equal employment opportunities regardless of race, color, ancestry, religion, marital status, disability, sexual orientation, national origin, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace."
