Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
Full Stack Designer (SWEIII) - Remote - U.S.,$135.00,4.4,Outbound.com,Remote,"Industry
Architectural & Engineering Services","Construction, Repair & Maintenance Services","About Outbound
Outbound.com is positioned to become the leader in outbound sales and marketing automation. Based in Tampa Florida, Outbound’s co-founders are seasoned executives who have experience building, launching and successfully exiting workflow automation platforms. Additionally we are backed by several of the largest VC firms in Tampa including Tampa Bay Ventures.
We are just getting started and this is your opportunity to get in early on the next potential Unicorn.
About the Role
As a Full Stack Designer (SWE III) with our product engineering team you will be responsible for designing and implementing the UX and UI for the Outbound.com platform based on the brand guidelines established by product marketing. This team is responsible for launching the Outbound.com marketplace as well as our workflow automation platform.
Qualifications
7 years of professional work experience
Experience working in a fast-paced, dynamic environment preferably a VC backed startup or other high-innovation, high speed experience.
Ability to design and implement simple, reusable and performant solutions to complex interactions over deeply related and nested data structures.
Familiarity with a rapid prototyping tool such as Figma, Adobe XD, Sketch (Figma Preferred)
Design, implement a reusable component library in React that can be used by other developers to rapidly build additional pages and experiences
As a Full Stack Designer on the team you will contribute by:
Being the go-to person for UX, UI, accessibility and other design related decisions.
Being the go-to person for styling best practices. You should have an opinion on pre-processors and how css is written and organized in the project.
Implementing a component library in react and Typescript that breaks down your designs into reusable pieces that other (less design focused) developers can use to implement high quality user experiences without a heavy design sprint.
Designing and implementing core customer experiences around workflow building, document templating, data filtering and search, reporting and additional other experiences. We are building a platform from the ground up and this role will be the primary designer.
Participate in product discovery by designing in house solutions or incorporating third party solutions that can accelerate our timelines such as MUI, Froala, etc.
Maintain Storybook stories for the component library
Contribute to high quality code by writing unit tests and complying with static code scanning quality metrics.
Review PRs in Github and give feedback on design, styling and component usage and approve any design related changes. (Automated by Storybook)
Additional Information
This role will receive a competitive salary based on location, benefits and equity.
Note: Outbound benefit, compensation and equity programs are subject to eligibility requirements and other terms of the applicable plan or program.
Salary Range
Salary ranges from 120 - 150 depending on equity, experience and location"
"Analyst II, Full Stack",-1,-1,Affirm,Remote,-1,-1,"Affirm is reinventing credit to make it more honest and friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest.
The Credit team works cross-functionally with Machine Learning, Product, Engineering, Capital Markets, and Commercial teams to responsibly manage the risk profile of the business. We're looking for a thoughtful, driven individual who wants to learn, grow, and solve hard problems.
The team's mandate is to enable sustainable growth while closely managing the profitability and resilience of our portfolio. As Affirm continues on an exciting growth trajectory, thinking through credit strategies for new initiatives and products, shaping ongoing testing and experimentation, and being ready for navigating through any exogenous changes will be important problems to tackle.
This role requires extensive use of data analytics to derive insights and develop credit strategies. It also requires a lot of cross-functional partnership. Working with the Machine Learning and Engineering team to develop new underwriting models, with the Product teams to develop new products and features, with the Merchant Pricing team to value different merchants, with the Finance team to help facilitate discussions with debt and equity investors are some parts of the role.
Come join us in our mission to change consumer finance through better data and technology, lower costs, and increased transparency while providing the best customer experience!
What you'll do
Leverage experimentation and advanced data analytics to derive insights. Dissect complex data and translate it into actionable strategies to help optimize credit underwriting
Determine and optimize user limit assignments, ensuring they are set optimally to balance risk and growth, driving healthy user engagement
Play a pivotal role in optimizing the portfolio, managing risk and ensuring the health and profitability of credit offerings
Design and implement inclusive credit strategies by leveraging alternative data, expanding credit to more users while managing the risk strategically
Partner with Machine Learning and Engineering teams on building effective credit risk capabilities
What we look for
2-4 years of work experience as a data analyst/data scientist (consumer credit risk management strongly preferred but not required)
Curious and passionate to learn new things and think outside the box
Extensive experience with SQL and Python, or other scripting languages. Experience with Spark is a plus
Ability to collaborate and influence across different teams in the organization
Pay Grade - USA29
Employees new to Affirm or promoted into a new role, typically begin in the min to mid range.
USA base pay range (CA, WA, NY, NJ, CT) per year:
Min: $138,800
Mid: $173,500
Max: $208,200
USA base pay range (all other U.S. states) per year:
Min: $124,900
Mid: $156,100
Max: $187,300
#LI-Remote
Affirm is proud to be a remote-first company! The majority of our roles are remote and you can work almost anywhere within the country of employment. Affirmers in proximal roles have the flexibility to work remotely, but will occasionally be required to work out of their assigned Affirm office. A limited number of roles remain office-based due to the nature of their job responsibilities.
We have a simple and transparent remote-first grade-based compensation structure. Offer amounts within the range are based on a number of factors including but not limited to job-related skills, experience, and relevant education or training. Across the broader organization, certain roles are eligible for equity awards upon hire, promotion, tenure milestones and for performance.
We're extremely proud to offer competitive benefits that are anchored to our core value of people come first. Some key highlights of our benefits package include:
Health care coverage - Affirm covers all premiums for all levels of coverage for you and your dependents
Flexible Spending Wallets - generous stipends for spending on Technology, Food, various Lifestyle needs, and family forming expenses
Time off - competitive vacation and holiday schedules allowing you to take time off to rest and recharge
ESPP - An employee stock purchase plan enabling you to buy shares of Affirm at a discount
We believe It's On Us to provide an inclusive interview experience for all, including people with disabilities. We are happy to provide reasonable accommodations to candidates in need of individualized support during the hiring process.
By clicking ""Submit Application,"" you acknowledge that you have read the Affirm Employment Privacy Policy for applicants within the United States, the EU Employee Notice Regarding Use of Personal Data (Poland) for applicants applying from Poland, the EU Employee Notice Regarding Use of Personal Data (Spain) for applicants applying from Spain, or the Affirm U.K. Limited Employee Notice Regarding Use of Personal Data for applicants applying from the United Kingdom, and hereby freely and unambiguously give informed consent to the collection, processing, use, and storage of your personal information as described therein."
Full Stack Engineer II,"$112,500",4.7,Yes Energy,"Boulder, CO","Industry
Software Development",Information Technology,"Full Stack Software Engineer II
Yes Energy, LLC

Join the Market Leader in Electric Power Trading Solutions
The electrical grid is the largest and most complicated machine ever built. Yes Energy’s industry leading electric power trading analytics software provides real time visibility into the massive amount of data that is generated by the North American electrical grid every day. Our unique and innovative view of the data informs real time trading decisions that keep utility prices low and the grid up and running. It’s both challenging work and work with a purpose.

Be a part of our successful, growing business.

We are seeking to fill one full time Software Engineer position immediately in our Chicago, IL office.

Impact Statement
In the Engineering group we are accelerating the product vision by building solutions in a fun, collaborative, efficient and adaptive team. As an Engineer you will collaborate with leaders in technology, data, and energy to build solutions and tools for handling the highly complex problems posed by the evolving power grid. You will also work directly on projects to integrate systems and serve energy data to customers. We are curious people who take pride in our work, value high-quality communication, and strive to continuously improve.

You would be a great fit if you…
Want to design and implement complex, yet intuitive, ways to query, visualize, and analyze large data sets – We love our customers and we love to give them a high-quality user experience
Enjoy working with engineers across experience levels using leadership, mentorship, and followership skills – We have a culture of learning and constantly invest in each other’s growth
Have a testing mindset and want to help promote and lead our ongoing journey towards continuous testing – We believe in building quality in from the beginning
Are a curious person who likes to learn new things and dive into challenging problems – We can get pretty nerdy about our industry, and it is constantly evolving!
Are seeking a collaborative, cross-functional team who uses agile software development methodologies – We believe that comradery and collaboration make us better

What you will do with us…
Develop, test, deploy, and maintain scalable, reliable systems using the full stack.
Work closely with operations and infrastructure to build and scale services.
Participate in all phases of the product life cycle: requirements analysis, design, development, deployment, and support.
Embrace Agile development methodologies and practices.
Contribute actively to implementation and architecture discussions, collaborating with the team.
Support fellow engineers through peer code reviews and constructive discussions.

We do ask that you have…
4-7 years of experience working as a software engineer.
Solid experience with front-end technologies like ReactJS, JavaScript, and HTML.
Proficiency in back-end languages, especially Java, and web servers like Tomcat.
Extensive experience designing, building, and consuming REST APIs.
Familiarity with data integration and ETL tools.
Working knowledge of relational databases (MySQL, Oracle) and NoSQL databases (ElasticSearch, MongoDB, Redis, etc.). Experience with Oracle PL/SQL is a plus.
Understanding of modern authorization mechanisms, such as JSON Web Token (JWT).
Passion for optimizing system performance and scalability.
Familiarity with Agile development methodologies.
Excellent communication and teamwork skills. Passion for sharing knowledge with the rest of your team, building shared tooling, and directly helping customers.
Self-directed and comfortable supporting the needs of multiple teams, systems, and products.
Continual learner, engaged in professional development.

You will stand out if you have…
Proven expertise in leading large-scale projects and driving innovative solutions.
Experience or interest in mentoring and supporting fellow team members.
Have experience with TDD and/or continuous testing
Have a desire to learn the energy industry or experience in equities/commodities trading

Keywords
React, Redux, JavaScript, Java, Spring, SQL, REST API, Application Developer, Data Engineer, Single Page Applications, Data Visualization, UX, DX, Agile, TDD / Test-Driven Development.

About Yes Energy
Overview
Yes Energy delivers real-time market data and electric power trading decision solutions. Over 1,000 market participants use Yes Energy solutions daily. The business is a leader in all aspects of information content collection and management, as well as in developing and delivering data and market analytics solutions. Since its inception in 2008 Yes Energy has become a trusted and respected supplier of innovative and reliable solutions focused on the needs of power market analysts, traders and trade managers. Yes Energy has a team of just over 100 amazing professionals located in Boulder, CO (HQ), Boston, MA and Chicago, IL.
Culture
At Yes Energy we care about saying “Yes” to customers. We like to listen and learn, and develop our solutions in line with our customers’ needs. We think about customers as business partners and when we help them to be more successful … we are more successful too.

Around the office our culture is driven by some pretty fundamental values that we’re proud of:
We love innovation and solving tough challenges;
We are “high standards people” who combine passion and pride with hard work and rewards of all kinds- in an ethic that is consistent across the company;
We’re team-focused with a flat hierarchy- we work in small teams on well-defined projects that directly impact the success of the business;
We play to the strengths and experience of each person, while each of us also works along a continuum of roles adjacent to our focus area. This presents a challenge of maintaining a broad set of skills as well as an opportunity to learn and contribute in many ways;
We are constantly growing. Professional development happens every day and every year.

Compensation and Benefits
We offer strongly competitive salaries and real bonuses that are achievable and that you can impact. Our benefits package is also very competitive and it includes medical insurance, 401K Plan with matching, flexible vacation and flexible work schedules. Investment in both formal and informal professional development is encouraged and funded by Yes Energy.

Base Compensation Range: $100,000 - 125,000"
Full Stack Developer,-1,-1,Amivero,United States,-1,-1,"Description:
The Amivero Team
Amivero’s team of IT professionals delivers digital services that elevate the federal government; whether national security or improved government services. Our human-centered, data-driven approach is focused on truly understanding the environment and the challenge, and reimagining with our customer how outcomes can be achieved.
Our team of technologists leverage modern, agile methods to design and develop equitable, accessible, and innovative data and software services that impact hundreds of millions of people.
As a member of the Amivero team you will use your empathy for a customer’s situation, your passion for service, your energy for solutioning, and your bias towards action to bring modernization to very important, mission-critical, and public service government IT systems..
Special Requirements
US Citizenship Required to obtain CBP clearance
Bachelor’s Degree +12yrs of experience
What Your Day Might Include...
Support a complex program to provide development and operations and maintenance for critical systems on a mission-critical program supporting the Passenger Systems Program Directorate (PSPD) Interface and Support Processes division within Customs and Border Protection (CBP).
In this hands-on position, you will work collaboratively to architect, design, build, deliver, and enhance highly available, scalable, real-time systems.
You will exercise your judgment in determining and recommending the best designs based on customer business objectives, timelines, and other resource constraints.
You will participate in all aspects of the software development lifecycle of a mission critical product including scope and work estimation, architecture and design, coding and unit testing.
Support all aspects of software development (designing, coding, testing, debugging, and maintaining products).
Must be a self-starter with the ability to work independently with minimal supervision.
Interface with software developers, analysts, and other project team members using Agile SCRUM methodology and SAFe to deliver features that enhance system capabilities and facilitate CBP’s mission.
Translate customer needs into user stories and deliver working capabilities at the conclusion of each sprint.
Mentor other software developers on product team to enhance their skills.
Participate and/or lead sprint demonstrations and facilitate implementation of agreed upon ideas identified at retrospectives.
Work with others on product teams to develop solutions to hard problems that are impeding progress.
Effectively communicate technical challenges, options considered, and the recommended solution.

Requirements:
You'll Bring These Qualifications...
Software development experience should include many of the following technologies: Oracle, SQL, Java, HTML5/JavaScript, Frameworks: Angular, React, Spring MVC, Struts, JSF, Weblogic, OpenShift Container Platform (OCP) JDBC, MyBATIS, Hibernate Spring, Spring Boot
Experience with one or more of the following system-to-system interfaces: Web Services both SOAP and REST, IBM MQ, Kafka, S/FTP
Experience with DevOps frameworks and proficiency using the following common DevOps tools at a minimum: Confluence & Jira o GitLab o Jenkins, SonarQube, JUnit
Knowledge of software design patterns.
Demonstrated experience working with other developers to jointly design and implement solutions to challenging problems impeding the progress of the product team.
Demonstrated experience facilitating changes in processes to improve team efficiency.
Strong written and verbal communication skills.
Proficiency with MS Office Products (Word, Excel, Visio, & PowerPoint).

EOE/M/F/VET/DISABLED
All qualified applicants will receive consideration without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. Amivero complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities."
Full Stack Developer- GCP,$82.00,3.3,"Stefanini, Inc","Dearborn, MI","Industry
Enterprise Software & Network Solutions",Information Technology,"Stefanini Group is hiring!
Stefanini is looking for Full Stack Developer- GCP, Location: Dearborn, MI (Hybrid)
For quick apply, please reach out Gaurav Bhagat / Phone: 248-263-5240 /Email: Gaurav.bhagat@stefanini.com
Open to W2 candidates only!

Project Description:
Looking for a full-stack Software Engineer focused on delivering software leveraging Java and Python based on proven Lean/Agile methods, utilizing the GCP environment/toolset.
Knowledge of Big Data tools and techniques is a plus.
The Software Engineer will work in a small, cross-functional, and co-located team.
The Software Engineer will collaborate directly and continuously with business partners, product managers and designers, and will release early and often. Position Responsibilities:
Work hands-on with the team and other stakeholders to deliver quality software products that meet our customer's requirements and needs.
Help business partners understand our iterative development approach and focus on delivering a Minimum Viable Product (MVP) through careful and deliberate prioritization.



Skills Required:
Overall 3-5 years of work experience in delivering customer facing products
Minimum 2 years of strong development experience in at least one of the following technologies: Java or Python on a Public Cloud Platform
Exceptional software engineering knowledge; OO Design Principles
Capable full-stack developer comfortable building Java and/or Python applications
Knowledge of Google Cloud Technologies (Cloud Run, DataProc, BigQuery)
Basic understanding of Big Data and potential use cases.
Strong desire to learn new skills and apply to solve business problems/opportunities.
Skills Preferred:
Angular is the preferred front-end technology, but this position will be primarily back-end at the beginning.

***Listed salary ranges may vary based on experience, qualifications, and local market. Also, some positions may include bonuses or other incentives***

Stefanini takes pride in hiring top talent and developing relationships with our future employees. Our talent acquisition teams will never make an offer of employment without having a phone conversation with you. Those face-to-face conversations will involve a description of the job for which you have applied. We also speak with you about the process including interviews and job offers.

About Stefanini Group

The Stefanini Group is a global provider of offshore, onshore and near shore outsourcing, IT digital consulting, systems integration, application, and strategic staffing services to Fortune 1000 enterprises around the world. Our presence is in countries like the Americas, Europe, Africa, and Asia, and more than four hundred clients across a broad spectrum of markets, including financial services, manufacturing, telecommunications, chemical services, technology, public sector, and utilities. Stefanini is a CMM level 5, IT consulting company with a global presence. We are CMM Level 5 company."
Full-Stack Engineer,"$140,000",4.6,Spyglass Software,"Brooklyn, NY","Industry
--",--,"Join our pioneering team as a Full-Stack Engineer in Brooklyn, New York, and play a key role in building the first-ever security platform for data teams!
Description
Full-Stack Engineer
Location: Brooklyn, New York City (in-office)
Spyglass website | LinkedIn Page

️ Why work with us
Spyglass is building the first security platform for data teams.

We are looking for an entrepreneurial founding engineer with ideally 3-years plus of software engineering experience. This is an amazing opportunity to work side by side as a founding member of a venture backed company and change how data teams manage security.

We've raised $2.5M in pre-seed from Notation Capital, 8-Bit Capital, CoFound Partners and V1.VC with deep team expertise in enterprise software and security.

‍ What you’ll work on
You will take a pivotal role in building a cloud based security platform alongside our CTO, CEO, and existing customers. We are working with data engineering teams iterating on the most advanced ways to deliver a purpose built security experience for their needs.

You will have a hand in everything from prioritizing features, to defining the architecture, to selecting the tech stack. As we scale, you will have opportunities to explore various technical and managerial roles.

In addition, you’ll have the opportunity to work across our entire SaaS offering, from our frontend Svelte app to our backend Node.js server, our CI/CD integrations, and recommendations (machine learning) products.

✅ Requirements
Strong knowledge of software development principles.
Strong problem-solving skills and ability to work independently in a fast-paced environment.
Demonstrated ability to quickly learn new technologies, and enthusiasm to contribute at all levels of the stack as needed.
Helpful but not required: Experience with Typescript, Postgres, GCP or Svelte.
Interest in security, machine learning, or developer tools is a plus!

What we look for
High-potential, raw talent.
Curiosity, mischief, and intensity.
History of building useful things.

Compensation
Our compensation packages are based on a wide array of factors including your unique skill set, years of experience, and preferred total compensation ratio between salary and equity.

We’re based in Brooklyn and prefer someone in New York who wants to work in person. We believe that face-to-face interactions foster more effective communication and help to build camaraderie, all things that are important to us as an early startup.

We offer healthcare, a stipend for work equipment, and plan on implementing other perks as we achieve our milestones as a business.

$120k - $160k salary range + significant equity.

Interview process
30 minute call with Co-founder & CEO to discuss background, experience, career goals, and answer questions
1-2 hour take home technical assessment building a basic application
30 minutes with Co-founder & CTO
2-3 hour onsite technical interview in Brooklyn with Co-founder & CTO (onsite in New York, location TBD)
Reference checks
Offer extended

️ Who You’ll Work With

I’m Nick, co-founder and CEO of Spyglass. I’ve spent the last decade building devops and developer tooling companies as the first GTM hire at both Edge Delta (observability) and Harness (CI/CD). I have a passion for working with engineering teams to solve complex and impactful problems at the enterprise scale. I enjoy road biking, playing with my dog and obsessing over my daily macronutrient ratios.

I’m Tyler, co-founder and CTO of Spyglass. I love building software infrastructure, security, and developer tools, and I’m super excited about what we’re building at Spyglass: security on autopilot for data teams. I have years of experience at startups (Fast) to big tech (Uber), but there’s always more to learn. In my free time, I enjoy making electronic music, playing chess, cooking, and gaming.
Salary
$120,000 - $160,000 per year"
Full Stack Software Development Engineer - UI Platform,"$158,250",4.2,Workday,"Pleasanton, CA","Industry
Enterprise Software & Network Solutions",Information Technology,"Your work days are brighter here.
At Workday, it all began with a conversation over breakfast. When our founders met at a sunny California diner, they came up with an idea to revolutionize the enterprise software market. And when we began to rise, one thing that really set us apart was our culture. A culture which was driven by our value of putting our people first. And ever since, the happiness, development, and contribution of every Workmate is central to who we are. Our Workmates believe a healthy employee-centric, collaborative culture is the essential mix of ingredients for success in business. That’s why we look after our people, communities and the planet while still being profitable. Feel encouraged to shine, however that manifests: you don’t need to hide who you are. You can feel the energy and the passion, it's what makes us unique. Inspired to make a brighter work day for all and transform with us to the next stage of our growth journey? Bring your brightest version of you and have a brighter work day here.
About the Team
The UI Platform Interoperability team builds intuitive APIs, works on front-end component libraries, and creates critical application infrastructure that will scale to support the needs of UI product development teams at Workday. Our team of engineers are working on evolving our technology platform and making it easier for other engineers to develop applications at scale. Come join our team!
About the Role
We are looking for someone to help build and scale a new platform to solve challenging problems as part of the overall UI Platform team. This work enables teams across Workday to rapidly build UIs and leverage our platform services to deliver a differentiated user experience.
The ideal candidate is someone who enjoys working on Platform tools, enjoys developing software for other developers and enjoys working with frontend technologies.
Responsibilities
Collaborate with peers on technical design, work estimation and implementation of new functionality
Write and maintain solid, robust, efficient and maintainable code using frameworks and tools, including Java, Spring, Redis, Git, Gradle, Typescript & React
Write reliable unit, integration, and system level tests that will run on our CD pipeline
Build proofs of concept to help steer the development approach for features
Understand and promote industry standard methodology
Mentor and learn from other team members through pairing, code reviews, knowledge shares, hackathons, etc.
About You
Basic Qualifications
3+ years of work experience as a Software Engineer
3+ years work experience in front-end web development, implementing component-based UI architectures
Other Qualifications
You are a flexible engineer with the ability and willingness to work across the full UI Platform stack
You have a proven track record of delivering high quality software
You are open-minded, curious and motivated by solving impactful problems as part of a high performing team
You see software development as a team activity, and thrive in a highly collaborative, agile culture where you’re always teaching and learning
You have a strong desire to learn and continuously improve your craft

Workday Pay Transparency Statement
The annualized base salary ranges for the primary location and any additional locations are listed below. Workday pay ranges vary based on work location. As a part of the total compensation package, this role may be eligible for the Workday Bonus Plan or a role-specific commission/bonus, as well as annual refresh stock grants. Recruiters can share more detail during the hiring process. Each candidate’s compensation offer will be based on multiple factors including, but not limited to, geography, experience, skills, job duties, and business need, among other things. For more information regarding Workday’s comprehensive benefits, please
click here
.
Primary Location: USA.CA.Pleasanton
Primary Location Base Pay Range: $136,000 USD - $204,000 USD
Additional US Location(s) Base Pay Range: $112,500 USD - $204,000 USD

Our Approach to Flexible Work

With Flex Work, we’re combining the best of both worlds: in-person time and remote. Our approach enables our teams to deepen connections, maintain a strong community, and do their best work. We know that flexibility can take shape in many ways, so rather than a number of required days in-office each week, we simply spend at least half (50%) of our time each quarter in the office or in the field with our customers, prospects, and partners (depending on role). This means you'll have the freedom to create a flexible schedule that caters to your business, team, and personal needs, while being intentional to make the most of time spent together. Those in our remote ""home office"" roles also have the opportunity to come together in our offices for important moments that matter.
Pursuant to applicable Fair Chance law, Workday will consider for employment qualified applicants with arrest and conviction records.
Workday is an Equal Opportunity Employer including individuals with disabilities and protected veterans.
Are you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!"
Full Stack Engineer,"$120,000",3.7,Nelnet,Remote,"Industry
Banking & Lending",Financial Services,"Nelnet is a diversified and innovative company committed to enriching lives through the power of service as a student loan servicer, professional services company, consumer loan originator and servicer, payments processor, renewable energy solutions, and K-12 and higher education expert. For over 40 years, Nelnet has been serving its customers, associates, and communities.
The perks of working at Nelnet go beyond our benefits package. When you join the Nelnet team, you're part of a community invested in the success of each individual. That support comes through in our work, as we are united by our mission of creating opportunities for people where they live, learn, and work.
You’ll be part of a multi-disciplinary, agile application development team tasked with modernizing an enterprise government system
Job Responsibilities:
Mobbing and pairing with your team to design, code, test, debug, deploy and document software in an agile environment
Working with your team, supporting agile engineering practices such as delivering small narrow slices of functionality, Test Driven Development, Continuous Integration/Continuous Deployment, and Infrastructure as Code
Working with UX/UI Designers, DevSecOps Engineers, Full Stack Software Engineers, Data Engineers and Data Analysts to modernize a 50 year old legacy system
Tackle a wide variety of technical problems
Exercise your full tool-belt of skills and experience
Pay Range for this position is - $115,000 - $125,000
EDUCATION:
Bachelor’s Degree in Computer Science, a related field or relevant work experience
EXPERIENCE:
Minimum 5 years of experience in software development with strong skills in at least three key competency.
COMPETENCIES – SKILLS/KNOWLEDGE/ABILITIES:
Self-motivated with strong communication and collaboration skills
Agile software development experience
Advance knowledge and experience with .NET and, React, required
Experience building service oriented APIs
Experience with Google Cloud Platform or AWS cloud computing
Experience building applications that integrate application logging, monitoring and alerting
Experience modernizing legacy mainframe systems desired
Experience solving complex problems and implementing solutions for performance and scalability
Our benefits package includes medical, dental, vision, HSA and FSA, generous earned time off, 401K/student loan repayment, life insurance & AD&D insurance, employee assistance program, employee stock purchase program, tuition reimbursement, performance-based incentive pay, short- and long-term disability, and a robust wellness program. Click here to learn more about our benefits:
LINK
.
Nelnet is an Equal Opportunity Employer, complies with Executive Order 11246, and takes affirmative action to ensure that qualified applicants are employed, and that employees are treated during employment, without regard to race, color, religion/creed, national origin, gender, or sex, marital status, age, disability, use of a guide dog or service animal, sexual orientation, military/veteran status, or any other status protected by Federal or State law or local ordinance.
Qualified individuals with disabilities who require reasonable accommodations in order to apply or compete for positions at Nelnet may request such accommodations by contacting Corporate Recruiting at 402-486-5725 or
corporaterecruiting@nelnet.net
.
Nelnet is a Drug Free and Tobacco Free Workplace."
Full Stack Python Developer,-1,-1,BlueInk,Remote,-1,-1,"About the Job
BlueInk is a fast-growing SaaS company building next-generation eSignature software. We are looking for a mid-level or senior full-stack web developer to join our growing development team.
As a full-stack developer on the BlueInk development team, you will:
Make an impact as an integral part of our development team
Have autonomy to creatively solve software challenges
Work in a fun, fast-paced, professional and respectful environment
Have support from other passionate developers
Face challenging problems, learn new skills and master new technologies
Be compensated well, and have opportunities for growth and advancement
Follow agile methodologies and work in a CI environment focused on software-development best practices.
Your day-to-day tasks might include writing Django / Python backend code to power new features, implementing user interfaces with React / HTML5 / CSS, planning the implementation of new features with the team, or any of the other many tasks required to bring software to life.
About You:
In addition to the technical requirements listed below, we are seeking candidates with:
A demonstrated history of building high-quality, production web applications
A strong motivation to build software that people love to use, and which positively impacts businesses and consumers
Pride in code quality, and an appreciation for the art and craft of writing software
Passion for web development
A keen eye for detail, especially in regards to user interfaces
Our Technology Stack Includes
Django / Python (Django REST Framework)
Java
PostgreSQL /Redis
Javascript / ReactJS (Webpack, Redux, Styled Components, Jest)
HTML / CSS
Git, JIRA, Docker, AWS
Skills & Requirements
The ideal candidate is an experienced full-stack web developer with a solid foundation in Python / Django and excellent front-end skills spanning HTML5, CSS & Javascript.
Required Skills
Django / Python (3+ years)
Javascript (3+ years),
ReactJS (1+ years)
HTML5 / CSS expertise
A firm grasp of JavaScript and its nuances, including ES6+ syntax.
Knowledge of functional or object-oriented programming.
Ability to write well-documented, clean code.
Experience with automated testing suites, like Jest or Mocha.
Demonstrated history of building high-quality, production web applications and working with RESTful APIs.
Nice-to-have Skills
Proficiency in one of these additional programming languages: Java, Objective C, C#, C, C++
Experience with unit-testing frameworks, automated testing
Experience with AWS, Heroku, CI / CD tools
Additional Javascript framework experience: AngularJS, Vue, or similar
About BlueInk
BlueInk is a fast-growing SAAS company that creates eSignature software products. We help our clients embrace greater transparency, security and efficiency in their document review and eSignature processes. We are based in Scottsdale, AZ."
"Full Stack Python/Django Engineer (Remote, US)",-1,2.0,Loveseat,"Austin, TX","Industry
--",--,"WHO WE ARE

Loveseat.com is on a mission to eliminate all waste from the supply chain in the home goods space - e.g. furniture, decor, appliances, etc. We are a consumer-first marketplace giving returned & overstocked goods a second chance to find a consumer who wants to save 70% off retail on a near-perfect item.
Loveseat is growing fast and is fresh off a Series A round led by Bessemer Venture Partners. We are seeking an Engineering Manager to join our team and take the company to the next level!

WHAT YOU WILL DO

Working directly with Loveseat's CTO & Co-founder, this critical member of our team will have a unique opportunity to contribute to and shape the technical product of a rapidly growing marketplace startup. This position is for a technically well-rounded individual with direct experience in using the Python/Django framework to build and ship web applications.
You'll have an important role in the launch of new features, architecting our infrastructure for scale, and the execution of our roadmap. The current engineering team is small but growing, so you'll have an important job in helping shape the future of the engineering department. This position is 100% remote but must be U.S.-based.

This role will:
Lead the current engineering team and provide guidance on additional engineering hires as company scales.
Own the technical development timeline across 3 proprietary products including consumer-facing website, internal admin website, and internal mobile application.
Translate roadmap-level features to project boards and work with the team to ensure successful completion.
Monitor infrastructure for a high-volume auction-based business and maintain enough resources for rapid audience and geographical growth.
Cross-collaborate with G&A, Warehouse, and Merchandising teams for immediate troubleshooting and long term strategic planning to support growth and scaling.

WHO YOU ARE
2+ years full stack software engineering experience
Experienced with Django, Python, HTML, CSS, Javascript, PostgresQL ** REQUIRED **
Devops experience in Heroku a plus
Startup experience preferred
Able to quickly reverse engineer solutions to problems with a proactive approach to problem solving
A software development mindset that embraces rapid iteration over rigid process
Self-starter who thrives in an environment with personal freedom and latitude on how to achieve results

WHAT WE DO
Loveseat Online Auctions was founded in 2020 and operates a managed marketplace for returned and other distressed inventory in the home goods (furniture, decor, etc.) space from major retailers and vendors. Everything is sold at auction with most items starting at just $10. Think: TJMaxx meets eBay. Fulfillment is done locally via Loveseat's network of warehouses in major metro areas.
The customer proposition is simple: score amazing deals on great stuff for your home in a fun and (slightly addictive) gamified shopping experience."
