,Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
0,"Research Scientist, Machine Learning / AI","$150,000",3.7,Basis,Remote,"Industry
Wholesale",Retail & Wholesale,"About Basis
Basis (https://www.basis.ai/) is a nonprofit applied AI research organization with two mutually reinforcing goals.
The first is to understand and build intelligence. This means to establish the mathematical principles of what it means to reason, to learn, to make decisions, to understand, and to explain; and to construct software that implements these principles.
The second is to advance society’s ability to solve intractable problems. This means expanding the scale, complexity, and breadth of problems that we can solve today, and even more importantly, accelerating our ability to solve problems in the future.
To achieve these goals, we’re building both a new technological foundation that draws inspiration from how humans reason, and a new kind of collaborative organization that puts human values first.
About the Role
Research scientists lead Basis’ efforts to develop a deeper understanding of the conceptual, mathematical, and computational principles of intelligence.
We are looking for people who are technically excellent, and who value probing concepts at their foundations. Our research scientists/engineers aspire to do rigorous, high-quality, robust science, but are not afraid to tinker, make mistakes, and explore radically different ideas in order to get there.
Basis is a collaborative effort, both internally and with our external partners; we are looking for people who enjoy working with others on problems larger than ones they can tackle alone.
We expect you to:
Have demonstrated an ability to do scientific research that is of high-quality. Possible ways to demonstrate this include publications, technical reports, and software projects.
In addition, the following would be an advantage:
PhD (or equivalent experience) in technical areas, including: statistics, programming languages, machine learning, computational neuroscience, cognitive science, physics, mathematics.
Excited about solving real world problems and having positive societal impact.
Responsibilities
Develop and explore computational theories of intelligence, including reasoning, learning, and decision-making.
In close collaboration with domain experts inside and especially outside Basis, work as a team member to help solve scientific and societal problems
Distill insights from solving problems into more general mathematical and computational theories
Develop and maintain open-source software
(Optionally) Publish and present findings in journals and conferences
Contribute to the culture and direction of Basis
Role Details
Exceptional candidates who may not meet all of the following criteria are still encouraged to apply.
FT/PT: This is a full-time position
Hours: While we prioritize in-person collaboration for its benefits to creative work, there is a degree of flexibility in your working hours. Expect to be available during certain set times each week for meetings, and be prepared to attend multi-day Basis-wide in-person events.
Location: This role is in-person in either New York City or Boston.
Salary range: Competitive salary and bonuses"
1,Scientist I – Machine Learning for Generative Shape Modeling,"$99,175",3.5,Allen Institute,"Seattle, WA","Industry
Research & Development",Management & Consulting,"Scientist I – Machine Learning for Generative Shape Modeling
The mission of the Allen Institute for Cell Science is to create multi-scale visual models of cell organization, dynamics, and activities. Our approach encompasses large-scale data collection, observation, theory, and predictions to understand cellular behavior in normal and pathological contexts. As a division within the Allen Institute, the Allen Institute for Cell Science uses a team-oriented approach, focusing on accelerating foundational research, developing standards and models, and cultivating new ideas to make a transformational impact on science.
The goal of the Computational Cell Science team is to develop scalable, quantitative image-based analysis frameworks of cell organization, activity, and function. We seek a motivated, knowledgeable, and team-oriented scientist with excellent machine learning knowledge, interested in applying these skills to biology as part of the Computational Cell Science team in the Allen Institute for Cell Science. This Scientist position will develop machine learning workflows for generative shape modeling from single cell image data.
The Allen Institute believes that team science significantly benefits from the participation of diverse voices, experiences, and backgrounds. High-quality science can only be produced when it includes different perspectives. We are committed to increasing diversity across every team and encourage people from all backgrounds to apply for this role.
Essential Functions
Develop and implement scalable and reproducible machine learning pipelines for 3D shape quantification on data from microscopy image-based assays
Systematically, efficiently and reproducibly iterate on new models
Maintain and improve existing machine learning pipelines
Work closely with other teams in the institute to scale-up analysis protocols into a high throughput computational pipeline
Ensure seamless integration and sharing of resources and data across teams
Maintain rigorous quality control standards
Maintain meticulous records and work closely with other scientists to coordinate complex experiments
Adherence to SOPs, GLPs and regulatory requirements
Prepare written summaries and present activities internally and publicly
Note: Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. This description reflects management’s assignment of essential functions; it does not proscribe or restrict the tasks that may be assigned.
Required Education and Experience
Ph.D. in Computational Physics, Applied Physics, Applied Mathematics, Computer Science, Biological Science (e.g. Cell Biology, Biophysics, Bioengineering), or related science or engineering field; OR equivalent combination of degree and experience
Preferred Education and Experience
Extensive knowledge in machine learning and hands-on experience in developing and implementing deep learning algorithms and generative models like VAEs, GANs, autoregressive models and transformers
Experience with image-based biology assays; some experimental and/or microscopy image analysis experience would be an advantage
Experience with different data representations like images, point clouds, meshes; some computational geometry experience would be an advantage
Experience with developing or contributing to open-source tools/packages
Experience utilizing software engineering practices such as version management, build management and testing; Experience with MLOps tools like MLflow, prefect would be an advantage
Careful attention to detail
Excellent interpersonal skills
Experience working in a multi-disciplinary environment in academic or industrial settings
Ability to work both independently and in a collaborative, multi-disciplinary environment
Work Environment
May enter laboratory environment, including potential exposure to lasers, biohazards
Physical Demands
Fine motor movements in fingers/hands to operate computers and other office equipment; repetitive motion with lab equipment
Position Type/Expected Hours of Work
This role is currently able to work in a hybrid work environment. We are a Washington State employer, and any remote work must be performed in Washington State.
Annualized Salary Range
$82,650 - $115,700 *
Final salary depends on the required education for the role, experience, level of skills relevant to the role, and work location, where applicable.
Benefits
Employees (and their families) are eligible to enroll in benefits per eligibility rules outline in the Allen Institute’s Benefits Guide. These benefits include medical, dental, vision, and basic life insurance. Employees are also eligible to enroll in the Allen Institute’s 401k plan. Paid time off is also available as outlined in the Allen Institutes Benefits Guide. Details on the Allen Institute’s benefits offering are located at the following link to the Benefits Guide: https://alleninstitute.org/careers/benefits.
It is the policy of the Allen Institute to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, the Allen Institute will provide reasonable accommodations for qualified individuals with disabilities."
2,Machine Learning Engineer / Scientist,"$170,000",3.8,Q Bio,Remote,"Industry
Biotech & Pharmaceuticals",Pharmaceutical & Biotechnology,"Q Bio is building technology for the Physical of the Future that measures more, faster and cheaper about the human body, to enable proactive primary care for all. We're revolutionizing primary care with the first clinical digital twin platform, powered by breakthrough whole-body scanning technology, that highlights the most important changes in a person’s physiology for sharing with physicians and specialists anywhere in the world.

Join us!

Q Bio’s clinical digital twin platform, Gemini, is the first to capture and monitor comprehensive baseline patient health in a scalable virtual model. The Gemini Dashboard highlights the most important chemical and anatomical changes in an individual weighted by an individual’s lifestyle, genetic and medical history, that can be securely shared with physicians and specialists all over the world.

Gemini is powered by the fastest, most accessible, whole body scanner developed: the Mark I. Self-driving and optimized for primary care, the Mark I can complete a whole-body scan in 15 minutes or less in an open space, without radiation, breath holds, or claustrophobia. Patient comfort is maximized with the option to sit, stand, or lie down, and real-time telemetry is displayed throughout.

Why should you consider a career with Q Bio?

We dream big. Our team is aligned and excited about the opportunity to save lives and understand the human body like never before. We know how critical empowering and supportive leadership is, both to our excellence as a company, and for our team experience as a whole, and our leadership team will empower and support career growth. We’re a team of engineers, scientists, and operators who come from a diverse background of disciplines and experiences. We value teamwork, growth, determination and persistence, commitment to collaboration, and a reliance on staying nimble while keeping the big picture in mind.

Team Structure

The Radiomics Engineering Team is divided into four smaller teams: Image Acquisition/Pulse Sequence Design, Image Reconstruction, Image Post-processing, and Hardware Engineering. While each team functions independently, we value cross-pollination of ideas, open discussion, and sharing of knowledge. As a company, we all work towards the primary goal of developing a reproducible, non-invasive, and high-speed whole body exam.

We’re hiring a ML applied scientist and looking to grow our team with talented individuals with expertise in AI/ML particularly in the areas of deep learning, segmentation, classification and biomedical image analysis. This is a hands-on position where you will be empowered to be creative and bold, to solve novel R&D problems and have the potential to directly impact the lives of our members.
Role Responsibilities
Explore and implement novel algorithms for medical image analysis.
Analyze and preprocess imaging data for model training and validation.
Plan and execute ML experiments, and set milestones and timelines to achieve objectives.
Write production level code and deploy ML-powered applications to obtain valuable insight from real life data.
This is a hands-on position where you will be empowered to be creative and bold, to solve novel R&D problems and have the potential to directly impact the lives of our members.
Candidate Requirements
PhD in Electrical Engineering, Biomedical Engineering, or equivalent research experience
At least 3 years of experience in ML model development, particularly in medical imaging utilizing MR or CT data.
Strong background in developing deep learning, computer vision and machine learning algorithms in Python and working with DL libraries such as TensorFlow and PyTorch, Keras, Caffe.
Proven experience with developing models for segmentation, classification and detection.
You thrive in fast-moving environments where you work with cross-functional stakeholders including executives, scientists, clinicians, and engineers
Benefits offered at Q Bio:
Competitive salary and equity in a well-funded, early stage startup
Healthcare, vision, and dental coverage for you and your dependents
Progressive paid family leave and sick leave plans
Complimentary annual Q Exam
Personalized catered meals every day
Opportunity to work on a highly interdisciplinary team and become an expert in computational biology, biotechnology, and the cutting edge of digital health tech while getting hands-on experience with it!
We are mission first, passionate about building things, and passionate about learning. We're looking for people that bring those same values, that can propel us along our mission, that can build great things, and where we can learn from each other and grow along the way.

In the San Francisco Bay Area, the standard pay range for this role is $160,000-$180,000 annualized. This pay range is for the San Francisco Bay Area and is not applicable to locations outside of this location or for remote roles. Actual amounts will vary depending on experience, performance, and work location. In addition to a competitive base salary, we offer significant equity and an employee-friendly stock option plan. Employees will also be eligible to participate in benefits plans available to other similarly situated employees subject to any eligibility requirements imposed by such plans.

Q Bio was founded in 2015 by serial entrepreneur Jeffrey Kaditz, Dr. Michael Snyder, Chair of Genetics and Director of Personalized Medicine at Stanford University, and Dr. Garry Choy, physician, radiologist, and former Chief Medical Information Officer at Mass General Hospital. Q Bio has raised over $80M from world class investors including Andreessen Horowitz, Kaiser Foundation Hospitals, Khosla Ventures, Founders Fund, SciFi VC, and many more.

Q Bio is an Equal Opportunity Employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
3,"Research Engineer, Machine Learning","$150,000",3.7,Basis,"New York, NY","Industry
Wholesale",Retail & Wholesale,"About Basis
Basis (https://www.basis.ai/) is a nonprofit applied AI research organization with two mutually reinforcing goals.
The first is to understand and build intelligence. This means to establish the mathematical principles of what it means to reason, to learn, to make decisions, to understand, and to explain; and to construct software that implements these principles.
The second is to advance society’s ability to solve intractable problems. This means expanding the scale, complexity, and breadth of problems that we can solve today, and even more importantly, accelerating our ability to solve problems in the future.
To achieve these goals, we’re building both a new technological foundation that draws inspiration from how humans reason, and a new kind of collaborative organization that puts human values first.
About the Role
Research engineers support Basis’ mission by translating research ideas into correct, robust, and scalable high-quality code.
We seek individuals who excel technically and value probing concepts at their foundations. Our research engineers aspire to conduct rigorous, high-quality, robust science, unafraid to tinker, make mistakes, and explore radically different ideas to achieve this.
Basis is a collaborative endeavor, both internally and with our external partners; we seek individuals who relish working with others on challenges larger than those they can tackle alone.
Machine Learning Research Engineers
This role targets experts in machine learning engineering. The core areas of ML research engineering include:
Probabilistic programming and statistical inference
Deep learning
Causal inference
Program synthesis and analysis
ML Ops and systems engineering
These areas are honed within the context of building reasoning systems. Consequently, research engineers will also engage with topics such as programming language design and implementation, automatic differentiation, and SAT/SMT solvers, among others.
We expect you to:
Possess excellent programming and software engineering skills, especially in Julia, Python, C++, ML-family languages.
Have demonstrated the ability to drive software projects from start to finish. This could be evidenced by open-source projects, technical reports, and publications.
Be comfortable digesting research from PL and/or ML venues, such as PLDI, POPL, NeurIPS, or ICML.
Progress with a high degree of autonomy and under uncertainty.
Be enthusiastic about solving real-world problems and making a positive societal impact.
Have demonstrated significant technical achievements within ML engineering. Examples include:
You've implemented variants of newly published techniques from scratch.
You build systems and workflows for training large models distributed across many machines.
You've built systems that span all levels of the programming stack from high-level API infrastructure to close-to-the-metal code.
In addition, the following would be an advantage:
A PhD (or equivalent experience) in technical areas including: statistics, programming languages, machine learning, computational neuroscience, cognitive science, physics, mathematics.
Responsibilities:
Translate research ideas into correct, robust, and scalable high-quality code.
Engage in programming language design/implementation.
Performance engineering, scaling research code.
Algorithm development.
Contribute to the culture and direction of Basis.
(Optionally) Publish and present findings in journals and conferences.
Role Details
Exceptional candidates who may not meet all of the following criteria are still encouraged to apply.
FT/PT: This is a full-time position
Hours: While we prioritize in-person collaboration for its benefits to creative work, there is a degree of flexibility in your working hours. Expect to be available during certain set times each week for meetings, and be prepared to attend multi-day Basis-wide in-person events.
Location: This role is in-person in either New York City or Boston.
Salary range: Competitive salary and bonuses"
4,Postdoctoral Associate,-1,4.4,MIT,"Cambridge, MA","Industry
Colleges & Universities",Education,"POSTDOCTORAL ASSOCIATE, Mechanical Engineering, to perform cutting-edge research on projects centered around deep generative models and other machine learning models for engineering design in the Design Computation and Digital Engineering (DeCoDE) laboratory at MIT under the guidance of Dr. Faez Ahmed. Will be responsible for researching, designing, and developing novel methods and algorithms for applications in the engineering design domain; work on research proposals; and perform other duties as requested. Will also have the opportunity to provide mentorship to graduate students working with Prof. Ahmed in the DeCoDE lab and to supervise UROP students.
Job Requirements
REQUIRED: Ph.D. in computer science, mechanical engineering, applied math, or related field; and research experience in machine-learning/AI algorithm development, specifically in deep generative models and/or graph neural networks. Must be able to adapt to change, deliver results, and work in a team-oriented environment. Job #23498"
5,Applied Machine Learning Scientists,"$165,750",4.0,Grainger,Illinois,"Industry
Wholesale",Retail & Wholesale,
6,Machine Learning Scientist (New Health Care Company),-1,-1,3M,Remote,-1,-1,
7,Machine Learning Scientist - Financial Modeling,"$155,000",4.4,Lendbuzz,"Boston, MA","Industry
Banking & Lending",Financial Services,"At Lendbuzz, we believe financial opportunity should be more personalized and fair. We develop innovative technologies that provide underserved and overlooked borrowers with better access to credit. From our employees to our dealers, partners, and borrowers, we’ve built a company and a culture around a resolute belief in the promise and power of diversity. We value independent and critical thinking.

This position is based in our headquarters in Boston, MA. Role is hybrid 3+ days a week in office.

What you’ll do:
Develop and improve risk scoring and related financial models
Develop and improve a robust model QA framework (confidence scoring, explainability, feature sensitivity, data drift)
Participate in the full modeling pipeline (from exploratory data analysis and feature engineering, to model training and deployment)
Communicate directly with stakeholders to understand use cases and present results

What you should have:
PhD in computer science/statistics/mathematics or a related field
Deep understanding of machine learning models and methods
Solid understanding of probability and statistics
Significant experience working with real-world, messy datasets
Proficiency in Python (including standard data science libraries: numpy, pandas, pytorch, scikit-learn)
Excellent communication skills

What we offer:
A culture that values product ownership, collaborative architectural planning, and building wins for your resume/portfolio as much as for the company
Smart, dynamic people with whom you can share the experience of building something unique
Competitive salary with opportunities for growth and advancement
Great benefits (medical, dental, vision, and more); parental leave; subsidized T-Pass
Retirement plan with 4% company match
Flexible vacation policy"
8,Research Scientist Lead (Machine Learning and Artificial Intelligence),"$235,875",4.0,Samsung Research America,"Mountain View, CA","Industry
Software Development",Information Technology,"Lab Summary:
Samsung is the world's largest consumer electronics company and the leading provider for smart phones and smart TVs. Samsung smart TVs connect homes to the Internet, providing a full range of intelligence capabilities such as speech recognition, gesture recognition, advanced video processing and personalized recommendation.
The VD intelligence lab at Samsung Research America is building a next-generation data platform to support Smart TV products and services. We have two office locations in California: Irvine and Mountain View. Our research and development include TV analytics, ads targeting, and personalized services.
The Core Machine Learning research team at Samsung Research America (SRA), part of Samsung's Visual Display Intelligence Lab, located in Mountain View, CA, is looking for an outstanding and highly self-motivated research scientist lead that can lead and manage a team of research scientists. We are looking for candidates with expertise in deep learning, computer vision, speech and language understanding.
You will work with a team of research scientists and engineers tackling real-world problems. You will also have the opportunity to publish at top-tier conferences in deep learning, computer vision, speech, and language understanding. As a research scientist, you will be involved in very promising team projects with talented people at Samsung. You will benefit a lot by working in a fun and creative environment.
Responsibilities
Lead and manage a core machine learning team to conduct advanced research for machine learning, computer vision, data mining, and natural language understanding
Collaborate with other colleagues to apply research results to prototypes and real-world applications
Quickly prototype new ideas/technologies to create proof of concept and demos
Contribute to the organization's strong drive to be on the cutting edge of technology through the generation of patentable ideas
Summarize research findings in high-quality papers and make submissions to top-tier conferences
Requirements
PhD in Computer Science or equivalent combination of education, training and experience
10+ years of relevant experience in ML/AI
A strong publication record in top-tier machine learning conferences and journals
Experience with ML frameworks such as: PyTorch, Tensorflow, Keras, etc
Technically deep in the principles of building large-scale machine learning systems
Experience with deep learning and neural networks
Strong Computer Science fundamentals in data structures and algorithm design
Strong fundamentals in applied statistics and probability
Experience with both supervised and unsupervised machine learning models
Familiar with ML algorithms such as but not limited to Regression, Classification, Clustering, etc.
Experience with regularization techniques such as but not limited to: Dropout, weight decay, generative pre-training, etc.
Ability to understand recent ML research papers and adapt those models to real world products
Self-directed, flexible, goal oriented and strong sense of ownership
Excellent verbal and written communications skills; experience presenting complex technical information, succinctly, to technical and non-technical audiences
Special Attributes
Experience managing a team or demonstrating technical leadership
Experience with computer vision and published papers in computer vision conferences
Experience and familiarity with multi-task learning
Experience and familiarity with natural language generation
Our total rewards programs are designed to motivate and engage exceptional talent. The base pay range for roles at this level is listed below, but may be higher or lower in other states due to geographic differentials in the labor market. Within the base pay range, individual rates depend on a number of factors—including the role's function and location as well as the individual's knowledge, skills, experience, education and training. This is part of our comprehensive compensation package with annual bonus eligibility and generous benefits to help you live life well.
Base Pay Range
$188,700—$283,050 USD
Additional Information
Essential Job Functions
This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, and frequently operate standard office equipment, such as telephones and computers.
Samsung Research America is committed to complying with all Federal, State and local laws related to the employment of qualified individuals with disabilities. If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact the recruiter or email sratalent@samsung.com.
Affirmative Action / Equal Opportunity
Samsung Research America is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, disability, or status as a protected veteran.
For more information regarding protection from discrimination under Federal law for applicants and employees, please refer to the links below.
Know Your Rights | Pay Transparency"
9,Lead Machine Learning Scientist,-1,-1,Strong Analytics,Remote,-1,-1,"Strong Analytics is seeking Lead Machine Learning Scientists to collaboratively design and develop machine-learning based solutions for clients ranging from startups to Fortune 500s. Lead ML Scientists are mission-critical at Strong who lead project teams, design project scopes, work directly with clients to iterate on solutions, and ultimately bring together state-of-the-art solutions to our clients' most pressing problems. This is a ""player-coach"" role, with time for serious technical contributions and team leadership and mentorship.

At Strong, your work will have an immediate impact on clients addressing real world challenges. Our work spans industries such as manufacturing, gaming, agriculture, automotive, and healthcare, among others. We pride ourselves not only in building the right solutions for our clients through research and development, but in implementing and scaling up those solutions through strong engineering. This role thus requires a deep expertise in applying data science and machine learning to real-world problems where data must be gathered, transformed, cleaned, and integrated into a larger architecture.
Responsibilities
Work with other machine learning scientists and engineers to develop custom ML solutions for a variety of industries and use cases
Develop, train, and validate machine learning algorithms
Apply techniques such as classification, clustering, regression, NLP, deep learning (CNN, RNN, GANs), time series forecasting, and Bayesian methods to build scalable solutions
Help create generalized solutions out of specific use cases
Help identify areas of opportunity and improvement within projects
Research new techniques and technologies in the space of ML and AI, and evaluate their potential for business use cases
Collaborate in a fully remote, Agile-like environment using tools like Slack and Git (with a lot of uninterrupted development time)
We offer a comprehensive compensation package, including:

Competitive salary
100%-covered Health insurance for employees, 75%-covered dependents
Four weeks PTO
401(k) with employer contribution matching
Personalized monthly perks with matched charitable donations
A 100% remote work environment with highly protected work/life balance

Applicants must reside in either the US or Canada and have 3+ years of experience shipping machine learning-based products. All applicants will be considered based on their experience and demonstrated skill/aptitude, not formal education. Candidates will be evaluated based on their experience in the following areas:
Statistical modeling and hypothesis testing
Designing, training, and validating results from a breadth of machine learning algorithms
Writing clean, efficient SQL
Building and testing Python applications
Building deep neural networks with modern tools, such as PyTorch or Tensorflow
Collaborating via Git
Applicants should have the ability to travel infrequently (<5% of your time) for team meetings, conferences, and occasional client site visits."
