Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
Jr. Data Scientist,-1,-1,ClimateAI,Remote,-1,-1,"Culture
At ClimateAi we are driven by a united passion to tackle climate change. We believe in a culture of absolute truth and transparency, where feedback is considered an opportunity for us to contribute to each other's personal and professional growth. We recognize the value of diversity and are an equal-opportunity employer.
We hire people who are collaborative, adaptable, communicate well, and love to learn. Expect to give and receive constructive criticism, as we are constantly seeking to push the innovation frontier while simultaneously growing as individuals and as a team.
What you’ll do
Develop and implement advanced methodologies based on state-of-the-art data science techniques and climate variability and change science to prepare custom/tailored deliveries to support customers on key decisions.
Collaborate with our Data Engineering and Software Engineering teams to develop and implement strategies to improve the performance of our models and projections.
Collaborate with our Product and Engineering teams to improve the quality and usability of our products.
Collaborate with our Customer Success teams to deliver high quality and timely reports to our customers.
Generate regular climate deliveries for our customers.
Preferred Qualifications:
Bachelor’s degree in a quantitative field (engineering, applied math, physics)
Proficient in python (experience with pandas, numpy, sci-kit learn, and similar)
Background in data analysis and machine learning (NNs and decision-tree based regression and classification).
Critical thinking skills
Nice-to-have:
Experience with Git, or other version control tools.
Experience working in a cloud environment (i.e. GCP, AWS, etc).
Linux knowledge.
Experience working with large data sets.
What We Offer You

Competitive salary and equity

Medical, dental, vision benefits

Learning budget per year

Unlimited PTO policy with minimum time off requirements

Flexible working hours on many teams

Culture of diversity and inclusion including employee resource groups

Work with smart, curious, passionate people and be part of the mission to help the world"
Data Scientist ￼,-1,-1,Sightly Enterprises,Remote,-1,-1,"About this position
Sightly is a growing technology company leading the revolution in real-time marketing and brand intelligence. Join us as we pursue our disruptive mission to empower businesses everywhere to make the most authentic + profitable decisions in real time.
Our AI-driven Brand Mentality® platform enables any brand (or agency) to leverage an ever-changing ocean of news, social, media and audience data to make more intelligent decisions at the speed of culture. At Sightly, we’re passionate about our product, our customers, our impact on the world, and most importantly our team.
Are you looking for a fun & fast-paced environment where you can make a real impact? Do you want to get-in on the ground floor of a revolutionary new software product? Are you an innovative thinker who can get things done?
We are looking for an experienced Data Scientist, who is highly motivated, inherently curious, and results-oriented, to join our Data Science team. As a Data Scientist at Sightly, you’ll be part of a team that help Sightly stays at the bleeding-edge of transformative innovation by using the latest in AI/ML technologies to build and ship scalable solutions for our customers. The data science team collaborate closely with product, design, and engineering teams to deliver features that allow brands and agencies to anticipate and act fast in the ever-changing marketing space. You will be the driving force to experiment, research, and create unique personalized experiences powered by emerging technologies such as LLMs, vector DB, and generative AI.
Your key goals and responsibilities:
Leverage a broad tech stack — GCP Composer/Airflow, Kubernetes, Hugging Face, LangChain, VectorDBs, and many more — to develop prototypes which will lead to product features our customers love
Design and create a unique dataset with our user’s usage data + brand’s profile information + external data sources to enable more customized recommendations and product experiences
Design and build feedback loops from user interactions with our product features to enrich our proprietary dataset that stores information about a brand’s mentality (it’s values, missions, preferences and more)
Train, develop, and deploy models that support our Brand Mentality offering, delivering solutions such as classification capability for ever-evolving scenarios appearing in the news cycle
leverage best practices about recommendation engines to inject smart recommendations across multiple touch points in the user experience of our platform
You will achieve your goals by:
Wrangle large structured and unstructured datasets to extract insights and build heuristics & proprietary metrics
Build machine learning models through all phases of development, from design through training, evaluation, validation, and implementation
Bring your passionate about cutting-edge tech to acquire and apply new AI/ML approaches to solve real-world problems
Flex your interpersonal skills to translate the complexity of your work into tangible business goals
Partner with a cross-functional team of data scientists, software engineers, product managers, UI/UX designers to research, define, and prototype features that our users will love
Present your research outcomes and prototypes in a clear and easily comprehensible way to key stakeholders across internal functions and external clients
You have:
At least 2-3 years experience as a Data Scientist building machine learning models and analyzing messy data
Bachelor’s degree or better in a quantitative field (computer science, engineering, mathematics, statistics, economics, etc)
Eagerness to learn new technologies and follow industry best practices in an ever-evolving field
Solid experience with a modern data science programming toolset (Python, Jupyter or similar notebook environment, PyTorch / Tensorflow or similar machine learning framework)
Excellent data intuition and analytical skills (understanding and identifying sources of bias, able to derive insight from unstructured data)
Solid relational database experience (Snowflake or similar)
Solid understanding of modern machine learning algorithms (tree models, SVM, deep learning, LLMs etc.)
Excellent understanding of how to evaluate modern machine learning algorithms
Solid experience with feature selection and engineering
Excellent understanding of NLP concepts and techniques
Some experience developing software services for machine learning models, especially REST APIs (FastAPI or Flask preferred)
Familiarity with and experience using git or similar code versioning software
Excellent ability to communicate complex data science concepts to non-technical audiences
Excellent ability to structure a data science research project independently through scoping, data exploration, feature selection, feature engineering, ML algorithms evaluation through to outcome presentations
Excellent ability to learn from open-source package/tool documentation independently and apply to projects
Additional qualities we’re looking for:
Knowledge of or experience in the digital advertising and/or marketing field
Self starter, focused, organized, and eager to learn
Excellent communications and presentation skills
Collaborative mentality and the ability to ideate & develop new business solutions
Comfortable working in a fast-paced and dynamic environment
Outstanding time management skills
What we offer:
Competitive compensation package
Employee stock options plan
Comprehensive health plans, including medical, dental and vision
Unlimited PTO; sick days and holidays
Parental leave program
Growth and career development opportunities
Collaborative and friendly work environment
Opportunity to work with a talented and dynamic team
Location:
This is a remote position.
Our Values:
We love what we do. We’re passionate about what we do and who we do it for.
We stay curious. We encourage asking questions and we cultivate an environment of curiosity.
We move first. We’re a lean & hungry team who get sh*t done. We respond to change with nimble innovation.
We care about people. We understand that life is bigger than work. We look out for one another and celebrate each person’s unique contributions to the team
We respect perspectives. We champion the right to having one’s own unique mentality and we encourage diversity of thought.
To start your application, please email your resume to shuang@sightly.com"
Junior Data Scientist,"$50,000",4.0,UST,"Bellevue, WA","Industry
Information Technology Support Services",Information Technology,"Junior Data Scientist
Associate I - Data Science
Who we are:
Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.
UST is a mission-driven group of over 39,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.
With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world.
Visit us at UST.com .
You Are:
UST is searching for a Junior Data Scientist entry-level position with the primary responsibility of collecting data and basic analysis of results using statistical techniques. Works under direct supervision.
The Opportunity :
Research, identify, and analyze data to evaluate existing and potential trends
Create or use existing frameworks to test and validate new models
Apply statistical techniques to analyze data
Apply machine learning techniques to streamline data analysis.
This position description identifies the responsibilities and tasks typically associated with the performance of the position. Other relevant essential functions may be required.
What you need:
Strong background in data mining and statistical analysis
Experience developing AL/ML models using Python and open source frameworks like: sklearn, keras, pytorch, numpy, pandas,TensorFlow
Ability to work with large amounts of data
Good Exposure to multiple SQL and NOSQL databases
Ability to quickly learn and implement new data science algorithms
Experience with machine learning techniques and creating algorithms
Exposure to NLP concepts and implementation will be a good skill
Compensation can differ depending on factors including but not limited to the specific office location, role, skill set, education, and level of experience. As required by local law, UST provides a reasonable range of compensation for roles that may be hired in California, Colorado, New York or Washington as set forth below.
Role Location: Remote

Compensation Range: $40,000-$60,000
Our full-time, regular associates are eligible for 401K matching, and vacation accrual and are covered from day 1 for paid sick time, healthcare, dental, vision, life, and disability insurance benefits. Depending on the role, some associates may also be eligible for stock options.
What we believe :
We’re proud to embrace the same values that have shaped UST since the beginning. Since day one, we’ve been building enduring relationships and a culture of integrity. And today, it's those same values that are inspiring us to encourage innovation from everyone, to champion diversity and inclusion, and to place people at the center of everything we do.
Humility:
We will listen, learn, be empathetic and help selflessly in our interactions with everyone.
Humanity:
Through business, we will better the lives of those less fortunate than ourselves.
Integrity:
We honor our commitments and act with responsibility in all our relationships.
Equal Employment Opportunity Statement

UST is an Equal Opportunity Employer.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
UST reserves the right to periodically redefine your roles and responsibilities based on the requirements of the organization and/or your performance."
Data Scientist,"$138,050",4.0,Parsons,Remote,"Industry
Information Technology Support Services",Information Technology,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!
When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.
Job Description:
Parsons is looking for an amazingly talented Data Scientist/Analyst to join our team! In this role you will get to apply advanced analytical, statistical, and AI/ML concepts to solving complex problems for a major program and supporting the Sector CTO in identifying and growing data science business and capabilities within the organization. .
What You'll Be Doing:
Identifying data sources and obtaining data to support complex analysis
Developing tools to process and cleanse the data for analysis
Monitor data quality and maintain data governance over collected data
Develop advanced analysis and visualizations using appropriate software (e.g., Jupyter Notebook, ElasticSearch, R, Python, Kibana and others as technology evolves)
Supporting multiple programs developing analysis tools and dashboards to answer program specific questions (e.g. What communities in the U.S. are best suited/amenable to accepting refugees relocated from <name a country>).
Reviewing opportunities across the organization identifying the potential to introduce data science/data analytics capabilities.
Developing briefings for customers and executive leadership on data science capabilities and applications.
Support business development and operations writing Data Science/Data Analytics portions of proposals.
What Required Skills You'll Bring:
Bachelor of Science degree or higher in statistics, mathematics, computer science, software engineering or related technical or scientific field; or similar course of study at an accredited school (or substituted education and experience) and typically
4+ years of related experience.
Advanced level proficiency with MS Office, data mining, ability to develop and manipulate, and maintain databases.
Demonstrated experience using tools to develop statistical analysis (R, Python, Jupyter Notebook, Arc GIS, MatLab etc.).
Required experience with software packages used for advanced statistical analysis of operational data and tools for data visualization.
What Desired Skills You'll Bring:
Ability to develop mathematical algorithms and applications in response to complex requirements.
Ability to leverage a range of data sources (e.g., Web traffic, customer requests for information, survey responses, production databases, etc.) to gain an understanding of what factors and issues that would influence decisions.
Ability to identify systems enhancements and new capabilities, concept demonstrators, capability business cases.
Ability to provide training as new systems and capabilities move into operational use.
Minimum Clearance Required to Start:
Not Applicable/None
This position is part of our Federal Solutions team.
Our Federal Solutions segment delivers resources to our US government customers that ensure the success of missions around the globe. Our diverse, intelligent employees drive the state of the art as they provide services and solutions in the areas of defense, security, intelligence, infrastructure, and environmental. We promote a culture of excellence and close-knit teams that take pride in delivering, protecting, and sustaining our nation's most critical assets, from Earth to cyberspace. Throughout the company, our people are anticipating what’s next to deliver the solutions our customers need now.
Salary Range:
$100,400.00 - $175,700.00
We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!
The position may require a COVID vaccination or an approved accommodation/exemption for a disability/medical condition or religious belief as required by customer requirements and some cases federal, state, provincial or local mandates.
Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.
We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!"
Data Scientist,"$140,000",3.9,DLA Piper,United States,"Industry
Legal",Legal,
Jr Data Scientist,-1,4.1,Veracity Software,"Iselin, NJ","Industry
Information Technology Support Services",Information Technology,
Data Scientist Associate,"$108,230",4.0,Tencent,"Palo Alto, CA","Industry
Internet & Web Services",Information Technology,"Work Mode:
Onsite
Responsibilities:
About Tencent
Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good. We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
About IEG
Interactive Entertainment Group (IEG) is responsible for the R&D, operation, and development of the company's interactive entertainment business including games and eSports. Through online gaming, live broadcasts, and offline eSports, IEG assists the company in leading the global interactive entertainment market to create better interactive entertainment content experiences for users.
Responsibilities:
Join a highly skilled data science team to solve challenging problems and deliver scalable solutions in game development, publishing, and live-ops.
Establish scalable, efficient, automated processes and deliver end-to-end data products with large-scale data analysis, experimentation, machine learning model development, validation, and serving.
Interact cross-functionally with various teams and provide actionable business insights to stakeholders.
Research new approaches in the field of machine learning, experimentation, statistics, etc.
Passionate about gaming and the gaming industry!
Requirements:
Currently enrolled in a Master's or Ph.D. program in computer science, math, statistics, or related quantitative fields such as economics, physics, etc.
Experience in one or more of the following areas: machine learning, statistics, deep learning, reinforcement learning, experimentation, NLP, computer vision, recommendation system, and other data science domains.
Good knowledge in data science methods and best practices, such as data analysis, data visualization, machine learning & statistical modeling.
Experienced in SQL and proficient in Python or other higher-level programming languages.

Location State(s)
California
The base pay range for this position in the state(s) above is $72,050 to $144,410 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered."
Data Analyst – Data Entry,"$32,500",4.1,Juristat,Remote,"Industry
Enterprise Software & Network Solutions",Information Technology,"Juristat is building an innovative suite of products, and we need the team to create those tools. We’re seeking a highly motivated and organized individual to join our data team as a Data Analyst. This team is responsible for acquiring and analyzing the most complete and accurate data available to grow our products and inform our business strategies.
This particular team member will be responsible for analyzing incoming legal documents in real-time to detect and correct errors in our processing, enter data from the source documents into templates, annotate legal documents, and provide feedback to others, to improve our proprietary artificial intelligence.
This role is 100% remote work-from-home. If you possess high attention to detail and a strong work ethic – this is the job for you!

ABOUT THE POSITION
Your responsibilities will include:
Collecting and analyzing digital documents and related data
Reviewing data and documents for errors
Entering, correcting, and formatting data from source documents
Working cooperatively with other Juristat team members
Consistently meeting individual and team performance objectives
Becoming familiar with Juristat’s tools and systems in order to understand all team-related internal systems, processes, and procedures
Potential to grow into a larger role, based on performance, skills, and experience
This is an entry-level position with a salary range of $30-$35k/year, plus overtime (not required). There is room for potential growth into leadership, training/development, technical, or revenue positions. To learn more about working at Juristat, visit our career page and our DEI page. We offer a fully remote work environment, flexible work times, flexible PTO, multiple health insurance plan choices, a 401k, and company-funded equipment.

ABOUT YOU
There are several qualities that make you stand out as the right person to fill this position. In particular:
You are extremely organized and possess high attention to detail
You have a strong work ethic
You are trustworthy and can maintain confidentiality
You are skilled at typing and using digital word processors, such as Microsoft Word and/or Google Documents, as well as other similar computer applications
You are knowledgeable of correct spelling, grammar, and punctuation
You can quickly adapt to new processes and procedures as our team grows and our processes rapidly improve
You are excited to learn about our current processes and infrastructure, and willing to provide creative suggestions to improve our workflow as you grow in your role

Juristat is an equal-opportunity employer. We're excited to work with people no matter their race, color, creed, religion, veteran status, national origin, ancestry, sex, sexual orientation, gender identity or expression, age, marital status, pregnancy status, or mental or physical disability.
We actively work to develop and maintain fully inclusive workspaces. We recognize that career gaps, career changes, personal hardship, or experiences with workplace discrimination can discourage some spectacular candidates from applying. Please do not hesitate to apply — we’d love to hear from you.
Note:
While this is a fully remote position, we can only consider those whose legal residence is in Texas, Colorado, Missouri, Virginia, Maryland, and Illinois.
All correspondence related to this position will come from a Juristat hiring manager or authorized recruiter. Protect yourself against scammers who imitate company job listings. Read more about how to protect yourself against these scams here.
- - - - - -
ABOUT JURISTAT
We believe the key to that success is building a team of self-motivated, curious people who get things done.
We don’t care what you wear to work, what you look like, or if you prefer to work remotely forever. All we care about is that you have an unflinching drive to do your best.
“In 2012, a lawyer, a data scientist, and a software developer walked into a startup event…”
Yes, our beginnings read like the start of a joke. But in bridging the gap between the legal industry and the technology worlds, we built a suite of tools unlike any other on the market.
Obtaining a U.S. patent is a springboard to innovation. But the process can be time-consuming and expensive. We aim to remove as much guesswork as possible from the patent application process. And since 2012, law firms and corporate legal teams have trusted Juristat’s data analytics and workflow automation solutions to do just that.
Here at Juristat, we continue to work towards that bold vision for the future of the legal industry. With each new product iteration, we’re one step closer to realizing our mission – to bring more transparency, predictability, and equity to patent prosecution.
We’re obsessed with improvement – in our products, our processes, and ourselves.
As an organization, we thrive in small teams that allow us to be fast and flexible and avoid the bureaucracy that slows growth. We are driven by opportunity and our passion for creating change.
WHAT WE OFFER
We enjoy working in a safe, welcoming, and inclusive environment. We all agree to follow a code of conduct. Additionally, we show our team members that we value them by offering the following:
Remote position with no pressure to ever come back to the office
Flexible personal leave policy
Competitive salary
Medical, dental, and vision coverage
401k with up to 4% company match
Professional development funding
Fun and flexible work environment
Juristat is an equal-opportunity employer. We're excited to work with people no matter their race, color, creed, religion, veteran status, national origin, ancestry, sex, sexual orientation, gender identity or expression, age, marital status, pregnancy status, or mental or physical disability.
Due to the high volume of applicants, we ask that you do not call to inquire about the status of your application. If you are a good fit for the position, you will receive an email inviting you to the next stage. If you have a specific question about the role, please reach out through this form.
rshDkmYBMz"
Data Scientist - Cost & Ops Analytics,"$125,250",3.1,CVS Health,"Wellesley, MA","Industry
Health Care Services & Hospitals",Healthcare,"Bring your heart to CVS Health. Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
Position Summary:
At CVS/Aetna, we're pioneering a total approach to health and wellness. As a Data Scientist on the Analytics & Behavior Change team, you'll build industry-leading analytics, data, and technology platforms to help reimagine health care. This position will play a critical role within a cross-functional team, delivering powerful solutions.
This Data Scientist role will be working with Cost and Operations Analytics that focuses on improving unit cost, efficiency, automation and provider experience.
You will be onsite 3 days a week, every other week, at our Wellesley, MA or SOHO, NY office.
You will be working on:
Analyzing large amounts of data to evaluate competitive cost positioning
Implementing models, developing tool and algorithms to augment processes related to Claims ecosystem
Identifying and sizing opportunities for analytics to improve efficiency and increase automation in claim adjudication, and claim rework

Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions

Explores, examines and interprets large volumes of data in various forms

Performs analyses of structured and unstructured data to solve moderately complex business problems

Utilizing advanced statistical techniques and mathematical analyses

Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs

Uses data visualization techniques to effectively communicate analytical results and support business decisions

Creates and evaluates the data needs of assigned projects and assures the integrity of the data

Explores existing data and recommends additional sources of data for improvements

Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics
Required Qualifications :
1+ years of relevant analytics experience
Experience in programming using Python or R
Experience in SQL
Preferred Qualifications :
Experience in Google Cloud/BigQuery
Experience in building solutions using machine learning and generative AI
Education :
Master's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.
Pay Range
The typical pay range for this role is:
$80,500.00 - $170,000.00
This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.

In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.

For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits
CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.
You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.
CVS Health is committed to recruiting, hiring, developing, advancing, and retaining individuals with disabilities. As such, we strive to provide equal access to the benefits and privileges of employment, including the provision of a reasonable accommodation to perform essential job functions. CVS Health can provide a request for a reasonable accommodation, including a qualified interpreter, written information in other formats, translation or other services through ColleagueRelations@CVSHealth.com If you have a speech or hearing disability, please call 7-1-1 to utilize Telecommunications Relay Services (TRS). We will make every effort to respond to your request within 48 business hours and do everything we can to work towards a solution."
Data Scientist,-1,3.0,DigiFlight,"Fort Meade, MD","Industry
Enterprise Software & Network Solutions",Information Technology,"Data Scientist Level 2- TS/SCI Fullscope Poly
Fort Meade
Join an outstanding team that offers exciting job opportunities with the goal of providing the absolute best support to our customers. Here at DigiFlight we embrace integrity, innovative solutions, put our customers first and offer a highly competitive benefits package!
Role description:
Data Scientist Level 2:
Description: Employ some combination (2 or more) of the following skill areas:
I. Foundations: (Mathematical, Computational, Statistical) 2. Data Processing: (Data management and curation, data description and visualization, workflow, and reproducibility)
3. Modeling, Inference, and Prediction: (Data modeling and assessment, domain-specific considerations)
Devise strategies for extracting meaning and value from large datasets. Make and communicate principled conclusions from data using elements of mathematics, statistics, computer science, and application-specific knowledge. Through analytic modeling, statistical analysis, programming, and/or another appropriate scientific method, develop and implement qualitative and quantitative methods for characterizing, exploring, and assessing large datasets in various states of organization, cleanliness, and structure that account for the unique features and limitations inherent in NSA/CSS data holdings. Translate practical mission needs and analytic questions related to large datasets into technical requirements and, conversely, assist others in withdrawing appropriate conclusions from the analysis of such data. Effectively communicate complex technical information to non-technical audiences. Make informed recommendations regarding competing technical solutions by maintaining awareness of the constantly shifting NSA/CSS collection, processing, storage, and analytic capabilities and limitations.
Education: Bachelor’s Degree with 3 years of relevant experience. Associate’s degree with 5 years of relevant experience. Bachelor's Degree must be in Mathematics, Applied Mathematics Statistics, Applied Statistics, Machine learning, Data Science, Operations Research, or Computer Science or a degree in a related field (Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology, astronomy), or other science disciplines with a substantial computational component (i.e. behavioral, social, or life) may be considered if it included a concentration of coursework (5 or more courses) in advanced Mathematics (typically 300 level or higher, such as linear algebra, probability and statistics, machine learning) and/or computer science (e.g. algorithms, programming, data structures, data mining, artificial intelligence). College-level requirements or upper-level math courses designated as elementary or basic do not count.
Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university.
Relevant Experience: Relevant experience must be in designing/implementing machine learning, data science, advanced analytical algorithms, programming (skill in at least one high-level language (e.g. Python)), statistical analysis (e.g. variability, sampling error, inference, hypothesis testing, EDA, application of linear models), data management (e.g. data cleaning and transformation), data mining, data modeling and assessment, artificial intelligence, and/or software engineering. Experience in more than one area is strongly preferred.
Our People
DigiFlight attracts the most highly skilled workforce to protect some of our nation’s most sensitive systems. Before joining the company, many DigiFlight professionals served our country in a civilian and/or military capacity. Our diverse team provides innovative solutions as they support critical clients in tackling tough challenges. Most importantly, our team is passionate about their work and making a difference.
Our corporate culture promotes a healthy work/life balance.
Our Benefits
DigiFlight’s competitive benefits package allows employees to manage their personal and professional portfolios through a variety of features and programs. Our benefits include:
Health, Dental, Vision, and Flexible Spending Account
Paid Time Off (PTO)
11 paid holidays
Tuition Education Assistance
Professional Development
401(k) retirement plan
Life insurance and short- and long-term disability insurance
Employee Referral Program
Marketing Incentive Plans

DigiFlight, Inc. (DFI) is an Affirmative Action, Equal Opportunity Employer. DFI offers a highly competitive, family-oriented benefits package."
