Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
Junior Data Analyst,$26.00,4.6,"MANSCAPED, Inc",Remote,"Industry
Other Retail Stores",Retail & Wholesale,"Who We Are - MANSCAPED® is a leading men’s grooming and lifestyle consumer brand on a mission to introduce and elevate a whole new self-care routine for men. What began as the category creator of below-the-waist grooming has quickly evolved into a global omnichannel powerhouse with an international footprint of 40 countries, plus hundreds more via Amazon. As a company, we’re more than just ball jokes (though, rest assured, there’s plenty of those). We proudly uphold seven core values – accountability, authenticity, collaboration, fun, humility, inclusivity, and innovation – which define our brand identity and drive our success. As a people-centric employer brand, we are deeply committed to fostering the growth, happiness, and holistic well-being of each individual on our team.
Who We’re Looking For - MANSCAPED® is seeking a talented Junior Data Analyst with a keen eye for detail to collect, interpret, and provide insights on key data points that will help inform critical business decisions.
Keys to Success - As a member of the Analytics team, success will be measured based on three key actions. 1) Doing your job; setting and meeting appropriate goals that ladder up to the long-term Company vision and the short-term Company targets. You are expected to align on these goals with your manager, and then deliver on them. 2) Doing Your Job, the Right Way; At MANSCAPED® we strive to be ideal team players. That means striving to live up to the Humble, Hard Working & Smart framework. 3) Engaging (in both directions) with Radical Candor in a way that seeks to improve the performance of yourself and the team around you.

Responsibilities:
Provide essential support as a Junior Data Analyst, offering valuable insights for data-driven decision-making, primarily concentrating on retention marketing strategies
Collect, analyze, and interpret data to identify trends and make strategic recommendations for improvement in areas such as product performance, marketing campaigns, customer experience, and customer segmentation
Support the development of retention forecasts and work with other analysts to refine and improve forecasting models
Create reports and dashboards to track key performance indicators
Collaborate with teams across departments to ensure data accuracy and integrity
Other duties as needed
Qualifications:
2+ years of direct and hands-on experience providing solutions
Bachelor's degree in a relevant field (e.g., Business, Marketing, Data Science, or a related field)
Excellent analytical and problem solving skills, detail-oriented, and able to work well within a small, dynamic and data-driven team
Solid understanding of database technologies, data analytics, and reporting tools
Strong working knowledge of Excel and Google Sheets required
Solid communication and presentation skills
Prior experience with any variant of SQL preferred
Experience with Google Analytics or other web analytical tools preferred
Experience with data visualization tools like Looker is preferred
MANSCAPED® Benefits:
20 Vacation Days
40 Hours Paid Sick Leave
Paid Mental Health Days
9 Paid Holidays
Life AD&D + LTD Coverage
Medical, Dental, Vision, HSA + FSA
Employee 401(K) Plan
Monthly Utility Allowance
Employee Discounts"
Data Analyst,"$100,000",2.1,Clair,United States,"Industry
--",--,"About Clair
If you can send your friends money in seconds, why does it still take your employer two weeks to send your paycheck?
At Clair, we are on a mission to create financial freedom for America's workers by giving them a digital banking platform that allows them to get paid as soon as they clock out of work. But we're not just another digital bank or on-demand pay provider. We meet Americans at their place of work by embedding our products within the scheduling, workforce management, and payroll apps they already use every day.
Learn more about us at getclair.com/about
Are you who we're looking for?
We're looking for a top-tier analytics professional to deliver insights that drive growth at our next-generation digital bank. As a Data Analyst at Clair, you'll join a growing team of data practitioners who are passionate about bringing financial security to underserved communities by giving workers fee-free access to their earnings, right when they need them.
As a trusted thought partner to product and business teams, you'll surface impactful insights supporting their goals. Through experimentation, analysis, modeling, and dashboard development, you'll surface recommendations to enable Clair to reach hundreds of thousands of hourly workers and help them get paid on demand.
The ideal candidate will consider themselves a ""full stack"" data analyst, with experience across the entire data pipeline, including data ingestion, processing, modeling, and visualization. This person will be comfortable with the analytics engineering workflow, mixing technical proficiency with the ability to engage stakeholders across the organization.
What will you do at Clair?
Help drive user growth using your data toolkit
Use data to generate, advocate, and drive insights into action
Partner with business stakeholders across the organization to answer questions and test hypotheses
Implement and manage metrics to drive product, operations, and growth decisions
Put data at the fingertips of stakeholders and empower them to self-serve
Create efficient and scalable data pipelines; develop dashboards and visualizations
Collaborate to brainstorm ideas, verify analyses, and review your peers' work
Qualifications
1–2 years of professional experience in the data analytics field
Fluent in SQL (translating business questions to queries, understanding joins and functions, and building data pipelines)
Experience with experimentation and statistical analysis to guide decision-making
Passionate about building the best version of whatever you're working on
Things We Consider a Plus
Experience with the modern data stack, including Snowflake, dbt, Tableau
Experience with a scripting language like Python or R
Interest in financial systems and consumer behavior
Experience with machine learning or statistical modeling
Experience in a high-growth start-up environment
Additional Details
Location: This is a hybrid position requiring at least three days per week in our NYC office.
Compensation: The annual base salary for this role is $95,000-$105,000. The actual base pay within this range depends on many factors, such as education, skills and experience. Base pay is only one part of Clair's competitive total compensation package which includes benefits, perks and equity. The base pay range is subject to change and may be modified in the future.
What To Expect In The Hiring Process:
An introductory phone call with the talent team
A video call with our Director of Data
A take-home technical assessment
An onsite cross-functional panel interview
A final round interview with a Clair executive
Need more convincing?
Apart from getting to work with our incredible team, here are some of the benefits you can expect when you join Clair:
Medical, Dental, & Vision Coverage, with option to extend to your family
Fully-paid parental leave
Company-sponsored 401k, HSA, and FSA
Unlimited vacation for salaried roles, generous PTO for hourly roles
Work from home setup allowance
Access to your earnings every day on Clair
Company-sponsored short-term and long-term disability insurance
Equal Opportunity Employer Information
Clair is an equal opportunity employer and we value diversity at our company. We actively seek a diverse applicant pool and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
For questions, please email us at careers@getclair.com"
Data Analyst,"$110,000",2.6,Truepill,Remote,"Industry
Enterprise Software & Network Solutions",Information Technology,"Description
At Truepill, we power the future of consumer healthcare. We started in 2016 with a vision to modernize healthcare. We provide the building blocks needed to launch and scale world-class healthcare experiences.
With over 10 million prescriptions shipped and millions of patients served, we work with many of the world’s largest healthcare organizations - including payers, providers, life sciences companies, consumer health brands, and government agencies. And with new partners continually joining our mission, we aim to further shape the future of healthcare - one patient at a time. Come join us. Let’s build something great together.

We’re looking for an experienced Data Analyst to support our Engineering and Data team. You’ll work alongside collaborative partners and dedicated achievers in the field to help support our mission. You will use data and analysis to identify and solve Truepill’s biggest challenges through insights and prototyping ML solutions.

Why You'll Love Working at Truepill...

We are collaborators – The backbone of Truepill is our people. We support each other by listening and evolving together to make our goals attainable.
We are curious – We never settle for how it’s done today. We invent how it will be done tomorrow. Because we don’t just ask “why?”, we ask “why not?”.
We are innovators – We’re the spark that ignites positive change in healthcare. We create impact because we don’t anticipate; we innovate.
We are honest – Leading with integrity is the foundation of trust. We always do what’s best for our people, our customers, and above all, our patients.
We are committed to supporting employees’ happiness, health, and overall well-being - We offer a variety of PTO plans and comprehensive benefits for both our remote and onsite employees.
You're excited about this opportunity because...
You will define, understand, and test opportunities and levers to improve our fulfillment operations and product experience through ML models and applications
You will drive ML-modeling roadmaps through your insights and recommendations
You will curate and label data to be consumed by automated processes
You will collaborate with operations, product managers, solution architects, other engineering teams and support for productization of software services and features
You will define, document, and manage requirements through interacting with software developers, technical architects, and various teams and leaders within Truepill
You will scrub, validate, and develop databases or master data
You will partner across teams on a wide array of products and business problems with a diverse set of cross-functional partners across Operations, Product, Engineering, Data Engineering, Finance and others.
We're excited about you because...
You have 2-3 years of experience using SQL, R, and Python
You possess a Bachelor’s degree in Computer Science, Engineering, Mathematics, Information Systems, Supply Chain, or other related degree
You have intermediate experience working with relational databases and query tools
You are able to provide coherent data analysis through clear and concise dashboards
You have exceptional quantitative abilities and problem solving skills
You have a strong attention to detail and process follow through
You are able to work independently and cross functionally
You possess great organizational, interpersonal and customer service skills; you are an excellent communicator with active listening skills
You are fluency at an intermediate level with Business Intelligence tools including Tableau, Looker and Data Studio
You have a working knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc)
You are experienced inc resting and documenting detailed requirements, user stories/specification by example, business processes, fit/gap analysis
The salary range for this position is $90,000-$130,000.

Truepill is unable to hire within the following states: Alaska, Arkansas, Delaware, Hawaii, Idaho, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Minnesota, Mississippi, Montana, Nebraska, New Hampshire, New Mexico, North Dakota, Oklahoma, Oregon, Rhode Island, South Dakota, Utah, Vermont, Washington DC, West Virginia, Wisconsin, Wyoming

Diversity, Equity, Inclusion & Belonging
Truepill is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics."
Data Analyst,$20.00,4.1,Lakes Regional Community Center,"Greenville, TX","Industry
Health Care Services & Hospitals",Healthcare,"Under the supervision of the ECI Program Director, the Data Analytic will perform the following duties:
Data Analytics:
Global actions/timeline tracking dashboard development and maintenance.
Working with the programs EHR environment.
Data reconciliation between the EHR and TRAD
Process Management:
Assist with establishment of general operating procedures with regard to ensuring compliant documentation and adherence to state-issued technical assistance.
Chart audit as needed.
Make data and record-driven recommendations for the Director to consider in order to ensure meeting the contract stipulations.
Productivity considerations and recommendations.
Best practice recommendations.
Revenue generation challenge identification and planning.
Reporting:
Structuring quarterly financial reporting
Structuring close-out reporting
Review ways to maximize utilization of HHSC monies and grants.
Situational Awareness Assistance:
Record audit to flag and log non-compliances for which the assuming program should not be liable.
Recommendation for integrating a paper-based system into an EHR environment.
Full integration of new caseloads into the existing workflow.
Minimum Qualifications: Bachelors degree from an accredited college or university plus two years of experience in ECI.
Preferred Qualifications: Master's or Doctorate degree from an accredited college or university. Five years or more of experience in ECI. Knowledge of all ECI TAC rules, reporting timelines, data analytic, process management, and reporting."
Healthcare Data Analyst - REMOTE,-1,-1,"Perficient, Inc",United States,-1,-1,"We currently have a career opportunity for a Healthcare Data Analyst to join our team. While Perficient's headquarters are in St. Louis, MO, this role is remote and candidates can be located anywhere in the continental US.
As a Healthcare Data Analyst, working in a team environment you will take direction from solution architects and Leads on client data activities.
Perficient is always looking for the best and brightest talent and we need you! We’re a quickly-growing, global digital consulting leader, and we’re transforming the world’s largest enterprises and biggest brands. You’ll work with the latest technologies, expand your skills, and become a part of our global community of talented, diverse, and knowledgeable colleagues."
Junior Data Analyst Apprentice,"$45,000",3.4,Evergreen Trading,United States,"Industry
Investment & Asset Management",Financial Services,"About Evergreen
Evergreen Trading is a media investment firm headquartered in NYC. We help brands achieve their goals by leveraging their unwanted assets to purchase media. Our unique approach allows clients to improve their ROI by turning excess inventory, equipment, real estate, and more into media purchasing power. With a strong focus on collaboration and value creation, we’re the go-to strategic partner for marquee brands across industries. Check out our brand video here.

Position Description
Are you looking for an opportunity to launch a new career? Are you good with numbers, curious about patterns, and always telling stories with data? Do you have some basic data skills but need the training to reach your potential?
This media trading firm is looking for an individual with the potential to be a great Data Analyst to join the team for a yearlong paid apprenticeship.
The successful candidate will rapidly grow into the role of Data Analyst and learn skills on-the-job to support the Digital Investment team with data reporting needs across their portfolio of clients.

Who are you today?
You may not have a college degree or a career history in Data Analytics, but you love data, are meticulous, have high attention to detail, and are curious to uncover insights, patterns & trends.
You might have some data analytics skills already, but do not have to have all the skills or experience to do this job.
You are a good communicator, enjoy working with people, and thrive in a fast-paced environment.
You love to solve problems, develop creative solutions, and to collaborate with others to get projects completed.
You can adapt to the ever-changing needs of client projects, and have the tenacity, responsibility and commitment to follow through and get things done.
You have the right mix of attitude, aptitude, and commitment to take on this opportunity. It will be hard work, and if you are willing to learn, this program will kick-start your career.

Duties & Responsibilities of the role you will be learning on the job:
Work with the Digital Investment team to support campaigns to meet client needs.
Communicate data, trends, and measurement to clients and colleagues.
Develop effective reporting and dashboards to communicate information, insights and intelligence to clients and colleagues.
Analyze data to generate insights that support performance analysis and optimization.
Clean, prepare, and analyze data to support internal and external client needs.
Communicate effectively on projects to manage internal and external expectations.

Prior Experience, Skills & Abilities:
Highly detail-oriented, organized, and data-driven.
Able to communicate effectively and work well with a team.
Love learning and are ready to develop new technical and professional skills.
Basic proficiency in MS Office skills including Excel, PowerPoint, Word, and Outlook.

Tools & technologies used in this role (prior experience not required):
Python, Jupyter Notebook
Data analytic tools {NumPy, Pandas, Matplotlib, Sci-kit learn)
SQL
Tableau

How does the Apprenticeship component work?
This is NOT an internship, it’s a paid position for someone looking to develop their career in Data Analytics..
As an apprentice, you have the opportunity to learn and develop skills on the job. Each week you are given time to study, learn and practice what’s needed to succeed.
The program is a 12-month intensive training program focusing on Data Analytics in the Digital Media environment that is designed to teach you to do the job.
Your day-to-day responsibilities are similar to a regular professional. As a data analyst apprentice, your role is to gather and inspect the company’s data and extract essential information to support various decision-making processes.
As an apprentice, you get to learn this while you work, during office hours.

SALARY: $45,000
The above represents the expected base salary for this role. Exact compensation is determined by level of experience, location, and other job-related factors.

Why Work With Us
Since our founding in 2009, Evergreen Trading has always known our people are the most valuable part of our business. That’s why our company is 100% employee-owned. It’s also why we continue to invest in our employees' professional and personal development. Through company-sponsored training, mentorship, and a commitment to DEIB, we’re building a collaborative and inclusive workplace, for all.
If you're looking for a dynamic work environment and have a passion for doing things differently, Evergreen Trading is the place for you.

#LI-Hybrid"
Data Analyst – Data Entry,"$32,500",4.1,Juristat,Remote,"Industry
Enterprise Software & Network Solutions",Information Technology,"Juristat is building an innovative suite of products, and we need the team to create those tools. We’re seeking a highly motivated and organized individual to join our data team as a Data Analyst. This team is responsible for acquiring and analyzing the most complete and accurate data available to grow our products and inform our business strategies.
This particular team member will be responsible for analyzing incoming legal documents in real-time to detect and correct errors in our processing, enter data from the source documents into templates, annotate legal documents, and provide feedback to others, to improve our proprietary artificial intelligence.
This role is 100% remote work-from-home. If you possess high attention to detail and a strong work ethic – this is the job for you!

ABOUT THE POSITION
Your responsibilities will include:
Collecting and analyzing digital documents and related data
Reviewing data and documents for errors
Entering, correcting, and formatting data from source documents
Working cooperatively with other Juristat team members
Consistently meeting individual and team performance objectives
Becoming familiar with Juristat’s tools and systems in order to understand all team-related internal systems, processes, and procedures
Potential to grow into a larger role, based on performance, skills, and experience
This is an entry-level position with a salary range of $30-$35k/year, plus overtime (not required). There is room for potential growth into leadership, training/development, technical, or revenue positions. To learn more about working at Juristat, visit our career page and our DEI page. We offer a fully remote work environment, flexible work times, flexible PTO, multiple health insurance plan choices, a 401k, and company-funded equipment.

ABOUT YOU
There are several qualities that make you stand out as the right person to fill this position. In particular:
You are extremely organized and possess high attention to detail
You have a strong work ethic
You are trustworthy and can maintain confidentiality
You are skilled at typing and using digital word processors, such as Microsoft Word and/or Google Documents, as well as other similar computer applications
You are knowledgeable of correct spelling, grammar, and punctuation
You can quickly adapt to new processes and procedures as our team grows and our processes rapidly improve
You are excited to learn about our current processes and infrastructure, and willing to provide creative suggestions to improve our workflow as you grow in your role

Juristat is an equal-opportunity employer. We're excited to work with people no matter their race, color, creed, religion, veteran status, national origin, ancestry, sex, sexual orientation, gender identity or expression, age, marital status, pregnancy status, or mental or physical disability.
We actively work to develop and maintain fully inclusive workspaces. We recognize that career gaps, career changes, personal hardship, or experiences with workplace discrimination can discourage some spectacular candidates from applying. Please do not hesitate to apply — we’d love to hear from you.
Note:
While this is a fully remote position, we can only consider those whose legal residence is in Texas, Colorado, Missouri, Virginia, Maryland, and Illinois.
All correspondence related to this position will come from a Juristat hiring manager or authorized recruiter. Protect yourself against scammers who imitate company job listings. Read more about how to protect yourself against these scams here.
- - - - - -
ABOUT JURISTAT
We believe the key to that success is building a team of self-motivated, curious people who get things done.
We don’t care what you wear to work, what you look like, or if you prefer to work remotely forever. All we care about is that you have an unflinching drive to do your best.
“In 2012, a lawyer, a data scientist, and a software developer walked into a startup event…”
Yes, our beginnings read like the start of a joke. But in bridging the gap between the legal industry and the technology worlds, we built a suite of tools unlike any other on the market.
Obtaining a U.S. patent is a springboard to innovation. But the process can be time-consuming and expensive. We aim to remove as much guesswork as possible from the patent application process. And since 2012, law firms and corporate legal teams have trusted Juristat’s data analytics and workflow automation solutions to do just that.
Here at Juristat, we continue to work towards that bold vision for the future of the legal industry. With each new product iteration, we’re one step closer to realizing our mission – to bring more transparency, predictability, and equity to patent prosecution.
We’re obsessed with improvement – in our products, our processes, and ourselves.
As an organization, we thrive in small teams that allow us to be fast and flexible and avoid the bureaucracy that slows growth. We are driven by opportunity and our passion for creating change.
WHAT WE OFFER
We enjoy working in a safe, welcoming, and inclusive environment. We all agree to follow a code of conduct. Additionally, we show our team members that we value them by offering the following:
Remote position with no pressure to ever come back to the office
Flexible personal leave policy
Competitive salary
Medical, dental, and vision coverage
401k with up to 4% company match
Professional development funding
Fun and flexible work environment
Juristat is an equal-opportunity employer. We're excited to work with people no matter their race, color, creed, religion, veteran status, national origin, ancestry, sex, sexual orientation, gender identity or expression, age, marital status, pregnancy status, or mental or physical disability.
Due to the high volume of applicants, we ask that you do not call to inquire about the status of your application. If you are a good fit for the position, you will receive an email inviting you to the next stage. If you have a specific question about the role, please reach out through this form.
rshDkmYBMz"
Data Analyst,-1,2.7,Stahmanns Pecans,"La Mesa, NM","Industry
--",--,"Stahmanns Inc. is a family-owned pecan farm that has been in business since 1932. Based near Las Cruces, NM, Stahmanns currently produces and cracks millions of pounds of pecans per year. We focus on quality and always strive to stay at the forefront of the industry. The data analyst keeps all our systems running, develops tools that provide insight into finances and operations, identifies and implements new technologies, supports software users, and helps with light engineering work.
The core responsibilities for this position are:
Design and maintain a system of databases using SQL and custom forms used to collect data from all facets of the business
Train employees in data entry
Ensure data collection and entry compliance
Analyze collected data using Excel or R
Use Power BI to create dashboards and present data to CEO, Director of Operations, and all Department Heads
Work with department heads to implement new software and technologies and make data-based decisions
Learn to use various software packages and offer support to other users
Create predictive models for production, sales, purchases, maintenance and other areas
Requirements:
Fluency in R and SQL are necessary
Excellent analytical, problem-solving, organizational, computer, and people skills
A bachelor's degree in data analysis, computer science, math, physics, statistics, actuarial science, or a related field

Benefits:
Healthcare
12 days paid time off to start
Potential to grow"
DATA ANALYST I,$32.92,3.1,City of Tucson,"Tucson, AZ","Industry
Municipal Agencies",Government & Public Administration,"Introduction


The Tucson Police Department is seeking multiple innovative Data Analysts to join the Tucson Police Department’s Analysis Division. The Data Analyst role will support the design and development of analytical products for Police operations in a dynamic environment.

Successful applicants will be familiar with common scripting languages and data applications, including querying data using SQL, producing GIS products in ESRI platforms, and generating PowerBI reports and analyses. Experience and training with ArcGIS Pro, SQL, and Python are preferred.

Join our growing and supportive team!
General Description
Under direct supervision, positions assigned to this classification are primarily responsible for assisting and performing limited operational functions and applying routine statistical methods and data analytics to assist business partners make sound decisions that enhance operations. Performs other related duties as assigned or requested.
Essential Functions
Assists and performs limited operational functions using relational databases, geographic information systems software, and/or statistical programs. (25%)

Applies skillset on current programming and scripting languages, data visualization platforms, and/or statistical methodologies. (20%)

Assists and learns to create and maintain solutions/dashboards on digital visualization platforms for internal and external clients for use in graphics, illustrations, and reports. (15%)

Researches and resolves issues related to programming and scripting languages, data visualization platforms, and/or statistical methodologies to maintain current industry and city standards. (15%)

Assists and applies means and standard practices to gather and analyze data from various databases and sources. (10%)

Identifies business intelligence, reporting, and data analytics needs at the department-level, turning data into critical information and knowledge. (10%)

Other duties as assigned. (5%)
Minimum Qualifications
Associate degree and at least one (1) year of directly related experience.

Any combination of relevant education and experience may be substituted on a year-for-year basis.
Preferred Qualifications
Bachelor's degree in Information Technology, GIS, Economics, Public Policy, Statistics, Management Information Systems, or another closely related field.

Experience evaluating and resolving data challenges, eliciting requirements from stakeholders, and utilizing GIS and other technological solutions to provide actionable results.

Proficiency in following topics:
Coding and the ability to write scripts structured query language.
Automating reporting processes.
Generating reports using PowerBI.
Editing using tools from the ArcGIS Pro applications.
Compiling and integrating data from multiple sources for analysis.
Creating and organizing GIS data into models and schemas.
Using GIS applications, including ArcGIS Pro, Survey123, and Python.
Designing surveys for various stakeholders.
Selection Plan
All applicants are required to upload a resume to their online application or email it to TPD_HR@tucsonaz.gov prior to the closing date of the job posting. Resumes will be reviewed and scored. Please ensure your application contains the required resume prior to submission.
Applications received without a resume will be considered incomplete and will not receive further consideration.
Applicants who meet the minimum qualifications will be evaluated on the education and work experience in their employment profile and their responses to the supplemental questions, as well as their resume.
Top scoring applicants will be invited to participate in an Oral Board Interview.
Oral Board Interviews will be held the week of January 22, 2024
Location: TPD Headquarters, 270 S Stone Avenue, Tucson
Upon completion of all examination processes, the highest scoring applicants will be placed on a Civil Service Eligibility List. An applicant's ranking on the Civil Service Eligibility List will be based on their final score which will be calculated as:
10% - Education and Work Experience
10% - Resume Review
80% - Oral Board Interview
The Civil Service Eligibility List may be used by the department with an approved vacancy to fill in the next six months. Selection will be made in accordance with Civil Service Rule III, Section 2. The list of employees eligible for consideration will remain in effect for six months after their names are provided to the hiring authorities. Examination results and current status will be communicated by email.
The highest scoring candidates placed on the Civil Service Eligibility List may be invited to participate in a Selection Interview. If Selection Interviews are held, the date, time, and location will be provided at a later time.
Veteran, Native American, or Disability preference points will be added to the final score for those who are placed on the Civil Service Eligibility List. If you qualify for preference points as outlined in your Employment Profile, you must upload your documentation as part of the application process or email it to TPD_HR@tucsonaz.gov. Copies of DD 214s must reflect a characterization of service.
Applicants requiring an accommodation in accordance with the Americans with Disabilities Act for any of the applicant examinations must email TPD_HR@tucsonaz.gov at least 48 hours prior to the examination.
Candidates placed on the Civil Service Eligibility List who receive a contingent offer must successfully pass the following:
An extensive background investigation, including local, state and national criminal and fingerprint checks
Motor Vehicle History review
Conclusion
You are highly encouraged to print or save this bulletin as a PDF because it contains important testing dates and information that you will need to refer to later. It will not be available after the closing date.
Communications throughout this process will be sent exclusively via email so please ensure your browser accepts emails from jobs@tucsonaz.gov and check your email account regularly. Failure to respond or follow instructions will result in disqualification.
All inquiries should be directed to the individuals listed below:
Carolyn Cruse, 520-837-7755 or email: Carolyn.Cruse@tucsonaz.gov
Pre-Employment Medical Testing Requirements
None"
Nursing Administration Coordinator and Data Analyst,-1,3.6,GBMC HealthCare,"Baltimore, MD","Industry
Health Care Services & Hospitals",Healthcare,
