Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
Junior Front End Engineer,"$100,000",3.9,minware,Remote,"Industry
Computer Hardware Development",Information Technology,"About minware
minware provides engineering business metrics that show the true cost of engineering impediments. This helps organizations make better decisions with stronger alignment between engineers and executives.
Kevin Borders founded minware after bootstrapping his previous company to $86m in revenue and selling in 2021, with the idea of helping others benefit from lessons learned growing an engineering team from 0 to 40.
minware is a self-funded seed-stage company. After promising initial customer traction, we are looking for people who share our values to help bring minware to a larger audience.
The Role
As an early engineer, you will have the unique opportunity to work directly with minware's founders to build the product from the ground up. We are looking for someone who enjoys designing, developing, and maintaining front-end software.
We are seeking an ambitious and nice junior engineer who has experience independently executing complex projects and building scalable, maintainable software. As a purveyor of developer productivity analytics, we are diligent about process efficiency and code quality. Though we are small, we try to avoid unnecessarily creating technical debt and are looking for someone who can lead us toward this goal.
Primary Responsibilities
Develop UX/UX components for customer facing applications to enhance scalability, performance, and user experience
Work closely with product managers and customers to define minware's capabilities
Perform code reviews, unit testing, and continuous integration to maintain code quality standards
Manage a backlog of tech debt reduction and internal efficiency improvements
Qualifications
Familiarity with principles of high-quality code, including continuous integration, declarative and functional programming
Strong communication skills for interfacing with non-technical stakeholders and occasionally with customers
Well-versed in agile or lean planning and project management processes
Proficiency in Figma, HTML, and CSS
Experience with the core stack (Next.js, Apollo GraphQL, React) or similar technologies is preferred
Benefits and Perks
Competitive base salary, bonus, and seed-stage equity compensation
100% remote work, flexible hours, and unlimited vacation policy. (Read here about how we built trust in our previous all-remote company.)
Full health care premium coverage for you and your family
Unique career development guidance reporting directly to the founder/CEO
We offer competitive compensation packages along with stock options based on industry benchmarks for function, and level. Offer amounts are determined by multiple factors such as a candidate's experience and expertise.
Base Compensation:
$80,000—$120,000 USD"
Front-end Developer,-1,-1,Rinf,Remote,-1,-1,"Job Information
Competence
Development
Level of Experience
Middle; Senior
Industry
Technology
Remote Job
Job Description
This is a remote position.



Rinf.tech has grown from a Romanian start-up into a company with over 400 employees and successfully open 5 branches in Europe (Kiev, UK, France, Germany, Bulgaria).
We offer IT consulting in the area of software services to our partners that do not have the technical skills set in-house and need additions to their current teams. We are operating on a wide range of technologies and industries.
At rinf.tech you will come across friendly people and a relaxed atmosphere every day. RINFers are eager to learn from each other, explore and reinvent the world of technology. We have an inspiring place to share ideas and build amazing things together.


What you will be working on
We are undergoing a refactoring activity across our website in order to update our technology stack. The portfolio includes over 300 websites for which day to day operations are managed. Our websites are powered by Sitecore CMS.


The Mission:
We are looking for a front-end developer that can help us refactor our front-end framework and our website content components to be compliant with latest’s Google initiative: Core Web Vitals.
What you offer us
Required Technology Stack: HTML 5/CSS, Vue JS, Node CLI, Gulp/Webpack.
At least 3 years of experience with above mentioned technology stack.
Ability to understand and debug the lifecycle of a web page.
Ability to work in an Agile environment.
Ability to progress without close supervision.
Fluent in English.
What we offer you
Flexible working environment
Learning budget and platforms
Wide variety of projects you could be part of
Medical subscription
HR representative to guide you in your professional career development
Flexible benefits platform
Bookster
Our recruitment process
HR Discussion
Technical interview
Offer
Meet us!
If you are still unsure, we are inviting you to come by anytime for a tour of our office without any commitment.
All applications are strictly confidential. We will not disclose any private information without having your approval."
"Software Engineer, Front-End",-1,4.7,"Ikigai Labs, Inc.","Cambridge, MA","Industry
--",--,"Ikigai Labs is seeking a dynamic and passionate engineer with strong software fundamentals to join a high-performing data platform development team. We are looking for a team player who is a quick learner, performs in a rapid development cycle, has a drive to surpass expectations, and an eagerness to share their work and knowledge.

We encourage applicants from all backgrounds and communities. We are committed to having a team that is made up of diverse skills, experiences, and abilities.
ROLE:

Develop features to enhance the user experience
Build reusable code (components) for future use
Optimize web application for maximum speed and scalability
Maintain brand consistency throughout the design
Assure that all user input is validated before submitting to back-end
Implement API calls and corresponding UI feedback messages (i.e graceful error handling)
TECHNOLOGIES:
Languages: JavaScript
Frameworks: React
Misc.: Git, Figma, Photoshop, Postman
QUALIFICATIONS:
3+ years of experience
Degree in computer science or related field
Experience with React framework and state management library (i.e Redux)
Understanding of key design principles
Proficiency in HTML, CSS, JavaScript
Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS
Understanding of code versioning tools, such as Git
Proficient understanding of cross-browser compatibility issues and ways to work around them
Basic understanding of Client and Server communication (request and response headers, cookies, JSON payload)
The ability to learn quickly in a fast-paced environment
Excellent organizational, time management, and communication skills
The desire to work in an AGILE environment with a focus on pair programming
Willingness to discuss obstacles, find creative solutions, and take initiative
The ability to receive and give both constructive and encouraging feedback"
Front End Developer,-1,3.8,Virtusa,"San Jose, CA","Industry
Information Technology Support Services",Information Technology,"Experience in modern front end development technologies React or Angular
Experience with HTML, CSS, and Javascript/Typescript
Experience developing software solutions using object-oriented methodologies and
design patterns
Best practices for Responsive Web UI to reach users across a variety of browsers and devices
Write modular, scalable, and otherwise maintainable, tested code
Taking part in engineering-related discussion and decisions
Translating wireframes and high-fidelity design mockups into tangible solutions
Collaborating with UX designers, engineers, and project managers to solve problems
Participation in software design and code reviews to ensure delivery of quality work
Understanding of relational databases
Familiarity with the Ruby on Rails stack or similar MVC backend
Ability to be productive with little oversight
About Virtusa
Teamwork, quality of life, professional and personal development: values that Virtusa is proud to embody. When you join us, you join a team of 36,000 people globally that cares about your growth — one that seeks to provide you with exciting projects, opportunities and work with state of the art technologies throughout your career with us.
Great minds, great potential: it all comes together at Virtusa. We value collaboration and the team environment of our company, and seek to provide great minds with a dynamic place to nurture new ideas and foster excellence.
Virtusa was founded on principles of equal opportunity for all, and so does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need."
Middle+ Front-End Developer,-1,-1,Gamingtec,Remote,-1,-1,"Middle+ Front-End Developer
If you are passionate about developing new user-facing features, and determining the structure and design of web pages, then our team is waiting for your CV.
Remote Kyiv London Limassol Tbilisi
Are you ready to take your JavaScript skills to the next level?
We are looking for an experienced JavaScript developer with a deep understanding of React. The main responsibilities of the candidate will be the development of user interface components and the refactoring of existing code. Our projects are stable and long-term.
All you need is:
4+ years of experience as a Front-End Engineer;
Solid background coding pure JavaScript;
Experience with React (at least 3 years );
Knowledge and experience with Webpack;
Has relevant experience with HTML5, CSS3 and SCSS;
Experience with Styled Components or similar libraries.
Also, it will be great if you have:
Experience with React Native will be a big plus;
Experience with PWA;
Experience with TypeScript;
Experience with Formik + Yup.
Your daily adventures will look like this:
Performing a technical assessment of business requirements to ensure the possibility of their implementation within a reasonable time;
Fixing bugs in existing projects;
Refactoring and optimising existing code;
Optimising components for maximum performance across browsers;
Creating new and modifying existing websites;
Be proactive in communication with team members.
So, why Gamingtec?
If you are a person with passion, ideas, and a thirst to advance your career, you will love our corporate culture. We are an international team that treats each other with respect and moves towards the same goals. We believe in freedom and flexibility and trust our employees to do their jobs in a way that works for them. We have an ambitious and rewarding work environment, a flat organisational structure and almost zero bureaucracy. Our employees’ ideas are what move the company forward. Everyone has equal opportunities in every aspect of work, learning and development!
Why you will love working here:
Being a part of an international team, where everyone treats each other with respect and moves towards the same goal;
Freedom and responsibility. You do not need to be told what to do;
Competitive salaries. We want only the top performers, so we offer the appropriate remuneration for their experience and knowledge;
Fully remote work. If you are in one of the areas where one of our offices is located, you will also have the option to go to the office;
Flexible work schedule. We do not track time, we measure performance;
Unlimited paid vacation and sick leave days. We believe that everyone should have a good work-life balance and no one should burn out;
Constant career development & learning opportunities!
Enjoy the corporate atmosphere with awesome parties and team-building events throughout the year;
Refer your friends and get rewarded with a bonus, after they pass their probation period;
Find the right private medical insurance that works for you and receive compensation for it. Compensation (full/partial) depends on the cost;
Flexible Benefits plan. Decide which of your activities/expenses you want the company to compensate you for. For example; gym subscription, language courses, Netflix subscription, a spa day, etc;
Education foundation in learning something new. Be part of our biannual ruffle that gives you the chance to learn something new, unrelated to your job.
And this is how our interview process goes:
A 30-minute interview with a member of our HR team to get to know you and your experience;
A 1.5-hour technical interview to assess your skills and abilities;
A final 1-hour interview to gauge your fit with our culture and working style.
Sounds interesting? Do not hesitate to apply or contact us if you have any questions! Gamingtec is waiting for you!

Advantages of Our Company
Zero bureaucracy
Unlimited holidays
Medical insurance
Only top talent and top salaries
Challenging projects and tasks
Smartest colleagues in the industry
Our Principles
Celebrate diversity
Celebrate diversity
Innovation matters
Innovation matters
Ambitious goals
Ambitious goals
Contact us
We are always on the lookout for passionate clients and new talents to join us.
info@gamingtec.com"
Front End Developer (Property Management sphere),-1,-1,Coherent Solutions,Georgia,-1,-1,"Coherent Solutions is a digital product engineering company focused on empowering business success. Our global team of 2000+ talented professionals collaborate seamlessly to deliver innovative solutions that drive measurable business impact. Headquartered in Minneapolis, USA, the company’s core competencies across 10 locations worldwide include product software development, IT consulting, data and analytics, machine learning, mobile app development, DevOps, Salesforce, and more.
We grow a team of advisors, not just order takers, and strive to make the company a place for career growth and opportunities. If you want to grow your core competencies, share your passion and be sure that every contribution is evaluated, we are on the same page.
Company Background
The customer is a distinguished innovator in German property management. The organization holds a prominent position in the industry, driven by an unwavering commitment to pioneering solutions. Positioned as a vanguard, an open platform redefines industry standards, providing an impeccably seamless integration experience, devoid of associated fees.
Project Description
The project is meticulously developed around an API-first approach to property management systems. This cutting-edge system ensures unparalleled connectivity, facilitating the seamless access and integration of every data point within a sophisticated Property Management System (PMS). Clients effortlessly synchronize with a diverse array of hotel applications, and the curated Store emerges as a pivotal nexus, empowering hotels to methodically explore and adopt new, impactful applications. This is supposed to be a short-term assignment (3 months of full-time work).
Technologies
Next.js
React
Contentful CMS
TypeScript
Tailwind CSS
What You'll Do
Add additional features to the store;
Improve the existing components that are used and create new ones;
Improve the editorial side of the store;
Develop the work on RichText editor features;
Job Requirements
2+ years' commercial experience working as a Front End Developer;
Experience working with Next.js;
Experience working with React;
Experience working with Contentful CMS;
Experience working with TypeScript;
Experience working with Tailwind CSS;
Level of English - from Intermediate (spoken/written);
What Do We Offer
The global benefits package includes:
Technical and non-technical training for professional and personal growth;
Internal conferences and meetups to learn from industry experts;
Support and mentorship from an experienced employee to help you professional grow and development;
Internal startup incubator;
Health insurance;
English courses;
Sports activities to promote a healthy lifestyle;
Flexible work options, including remote and hybrid opportunities;
Referral program for bringing in new talent;
Work anniversary program and additional vacation days."
Solution Architect - Front End,"$132,500",4.3,Ketch,Remote,"Industry
Enterprise Software & Network Solutions",Information Technology,"Responsibilities

An adept Solution Architect with an in-depth proficiency in debugging, optimising, and customising a spectrum of software capabilities. Possessing a comprehensive understanding of website and mobile app development, web services, scripting, and integrations, this professional excels in fine-tuning existing systems to develop a comprehensive solution to meet customer needs.
What will your day-to-day look like
Work closely with CSMs, product managers, and engineers to deliver a world-class customer experience to ensure customers achieve a fast and significant return on their investment
Deliver compelling presentations, architectural blueprint documents, and requirements-gathering workshops to influence the strategic direction of our projects and lead customers through solution design
Lead the creation, delivery (development and configuration), and testing of a comprehensive business solution and all related documentation including future state process, configuration dictionaries, etc.
Coordinate with internal R&D, technical integrations, and partner integrations teams to stay on top of product capabilities as well as influence future direction
Skills and Qualifications
Proficient in tailoring pre-existing solutions, including websites, mobile apps, and integrations, to meet specific business requirements without requiring extensive redevelopment.
In-depth understanding of RESTful and SOAP APIs, capable of identifying and addressing issues in existing API integrations, enhancing data flow, security, and efficiency.
Proficient in scripting languages such as Python, JavaScript, or Ruby, enabling the modification of scripts to automate processes, enhance system efficiency, and address specific needs.
Adept at utilising Postman to test and troubleshoot APIs, ensuring correct functionality, identifying anomalies, and making necessary adjustments
Hands-on experience in creating dynamic and static websites using modern technologies such as HTML5, CSS3, JavaScript, and popular front-end frameworks like React, Angular, or Vue.js
Working knowledge in developing cross-platform mobile applications using tools like React Native, Flutter, or native development environments (Swift, Kotlin), ensuring consistent functionality and aesthetics across different devices
Extensive experience in integrating third-party services and tools into applications, enhancing functionality and providing additional features. Familiar with OAuth, API keys, and authentication protocols
Understanding of scalable distributed systems and experience with Container Orchestration (Docker, Kubernetes, Helm) is a plus
Experience in leveraging DB technologies including Oracle, MySQL, Postgres, MongoDB etc and storage technologies like Amazon S3 and Google Cloud Storage is a plus
Ability to build relationships across stakeholders in R&D, sales, and engineering
Excellent oral, written, presentation, and interpersonal skills
The US Base Salary range for this full-time position is $100,000 - $165,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
About Ketch

We are an early-stage startup looking to disrupt the data privacy and cybersecurity market. Our product delivers technology, not process, to help businesses deliver value to consumers while leveraging their data without violating privacy and trust requirements. Our patent-pending innovation combines cryptography, differential privacy, and distributed ledgers, to ensure ownership, and use of consumer data, adhering to regulations by design.

Ketch culture is based on the following values: Passion, Growth, Grit, Collaboration, and Integrity. Our culture oxygenates all of our decision making, everything from who we hire, how we build teams and products and companies, and especially how we treat each other and get work done.

Yes, we have perks, but don’t mistake free kombucha with an electrifying work environment, inspiring coworkers, interesting problems, meaningful work, and the opportunity to have an impact!

We are proud to be an equal opportunity workplace. Individuals seeking employment with us are considered equally and without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, or sexual orientation.
We do not accept resumes from headhunters, placement agencies, or any 3rd parties. All submissions will be considered a gift and no fee will be due."
Software Engineer II - Front End,"$138,450",4.3,Microsoft,"Redmond, WA","Industry
Computer Hardware Development",Information Technology,"Microsoft Teams is the hub for teamwork in Microsoft 365 that integrates all the people, content, and tools your team needs to be more engaged and effective. It is core to Microsoft’s modern work, modern life & modern education value prop. At Microsoft Teams, we tackle some of the most interesting challenges in team collaboration and is filled with opportunities to work with teams and technologies across the company and beyond.

As a team, our culture is inclusive and casual. Our team members come from diverse backgrounds, thrive through teamwork, and are grounded in our customer needs. We are looking for a passionate front-end Software Engineer II to join our team. We are on a journey to build the next set of awesome features for Microsoft Teams Premium. These features are not only huge growth engines & revenue drivers for Teams, but they directly add to the end-user experience. The experiences we build must be highly scalable to meet the needs of an ever-growing user base and must be resilient and performant to ensure compliance. This is a unique opportunity to hone your system design skills and will give you exposure to innovative technology stack (like React, Apollo, Typescript, CSS3, C# and more) as well as cross-org collaboration opportunities. You will have end to end ownership and can make significant contributions with real-life impact to millions of users across the globe.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.

In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day.
Responsibilities
Develop test plans/cases, and scenarios in support of ongoing applications and infrastructure.
Familiar with Agile/Scrum/Lean Methodology
Evaluate current experiences and drive performance, availability, and supportability improvements
Design, implementation, and testing of features.
Collaborating with partner teams to deliver delightful experiences.
Prototype and iterate on innovative features, collaborating with other feature teams.
Building user experiences that work great across multiple devices and browsers.
Investigating and prototyping new technologies and frameworks.
Writing and maintaining unit tests and automated integration tests.
Other: Embody our Culture and Values
Qualifications
Required/Minimum Qualifications:
Bachelor's Degree in Computer Science or related technical field AND 2+ years technical engineering experience with coding in languages including, but not limited to JavaScript, TypeScript, React, Apollo, CSS3, C#
OR equivalent experience
2+ years of working experience in front end development using JavaScript, TypeScript, React, Apollo, CSS3

Other Requirements:
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.

Software Engineering IC3 - The typical base pay range for this role across the U.S. is USD $94,300 - $182,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $120,900 - $198,600 per year.

Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/us/en/us-corporate-pay

#TeamsCMD
#MicrosoftTeams
#MicrosoftTeamsDev

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
Front-End Developer,"$69,000",4.0,UST,United States,"Industry
Information Technology Support Services",Information Technology,"Who we are:
Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.
UST is a mission-driven group of over 39,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.
With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world.
Visit us at UST.com .
You Are:
UST is looking for a talented front-end developer who can help us in enabling our customers deliver excellent experiences to end users. As a customer experience management firm, we are constantly enhancing user experiences in several of our customers' online platforms. The role of the front-end development team is crucial in realizing our design solutions without any loss in translation. We are looking for front-end leads who can build and deliver the best in class digital experiences through the right use of frameworks, technologies and code.
The Opportunity :
Design and Develop web / mobile applications using front-end technologies such as Angular, CSS, JS, HTML and many more
Implement applications that have high standards of quality and the best of the performance. Translate UI designs from our design teams into high quality code without any loss in translation
Design and implement optimized components, modules and applications using best practices of front-end development and clean coding standards
Establish continuous quality reviews and best practices to maintain higher levels of coding standards Guide the team in building solutions with high standards of quality and performance through technical design reviews
Design API definitions optimized for front-end and work closely with backend team for integration. Deliver code with maximum coverage using unit-testing frameworks and testing practices such as TDD
Optimize code continuously to improve quality , maintainability and performance
Work closely with solutions and architecture teams in solution design and contribute in exploring new frameworks, tools and products
What you need :
1 to 3 years of experience in front-end development of web / mobile applications with at least 2 yrs as a lead.
Experience in backend technology stacks will be an advantage
Strong proficiency in JavaScript, Strong skills in HTML, CSS , SCSS and any CSS Frameworks
Thorough understanding of any front-end frameworks like React, Angular or any other along with its core principles
Experience with data structure libraries, state managements, functional / reactive programming. Experience with newer specifications of ES6. Experience with RESTful APIs integration
Knowledge of modern authorization mechanisms, such as JSON Web Token. Familiarity with modern front-end build pipelines and tools
Experience with common front-end development tools such as Babel, Webpack, NPM, etc. A knack for benchmarking and optimization Knowledge of: JUnit(testing)
· Git and GitHub· DevOps
Atlassian Jira
Agile SAFe
Compensation can differ depending on factors including but not limited to the specific office location, role, skill set, education, and level of experience. As required by local law, UST provides a reasonable range of compensation for roles that may be hired in California, Colorado, New York or Washington as set forth below.
Role Location: Remote
Compensation Range: $55,000-$83,000
What we believe :
We’re proud to embrace the same values that have shaped UST since the beginning. Since day one, we’ve been building enduring relationships and a culture of integrity. And today, it's those same values that are inspiring us to encourage innovation from everyone, to champion diversity and inclusion, and to place people at the center of everything we do.
Humility:
We will listen, learn, be empathetic and help selflessly in our interactions with everyone.
Humanity:
Through business, we will better the lives of those less fortunate than ourselves.
Integrity:
We honor our commitments and act with responsibility in all our relationships.
Equal Employment Opportunity Statement

UST is an Equal Opportunity Employer.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
UST reserves the right to periodically redefine your roles and responsibilities based on the requirements of the organization and/or your performance."
Front End Developer,"$80,000",4.0,"Atmospheric & Space Technology Research Associates, L.L.C.","Louisville, CO","Industry
Aerospace & Defense",Aerospace & Defense,"Who We Are
Atmospheric & Space Technology Research Associates, L.L.C. (dba Orion Space Solutions) was born out of the vision for applying fundamental space physics knowledge to address real-world problems. Founded in 2005, and based in Louisville, Colorado, Orion Space Solutions is a leader in the “New Space” small satellite industry. We leverage our scientific and engineering expertise to develop unique solutions to address complex space physics challenges, including instrumentation, modeling capabilities, and data analytics; Orion Space Solutions turns science into data, data into knowledge. We are scientists, researchers, engineers and business people dedicated to solving global problems that affect how people live, work and play on our planet and in space through applied science backed by empirical knowledge. If you want to be part of a highly collaborative team, work in an amazing environment surrounded by the best and the brightest, solving BIG problems for our planet, read on.

This Opportunity
We are seeking a talented professional Front End Developer who is interested in developing advanced web-based user interfaces and visualizations of earth observation and scientific data. This position is located at our offices in Louisville, Colorado. Applicants must have a passion for innovation and ability to work in a collaborative environment while rapidly delivering on individual tasks. Immigration or work visa sponsorship will not be provided.

Your Impact
Responsible for the web-based user interface and visualization of earth observation data and scientific analysis information
Ability to deliver relevant information in an efficient and clean web interface quickly
Be part of an agile team delivering state-of-the art visualizations and UI for satellite observations, geospatial data, and satellite operations
Become an expert of advanced 3D visualization technologies and techniques

Qualifications
Required
2+ years’ experience in software engineering and development
Bachelor’s degree or technical school degree in a related field (or equivalent experience)
Development experience with HTML/CSS/JavaScript/TypeScript/ReactJS
Ability to create clean, minimal, and efficient websites
Demonstrate initiative in performing job tasks
AZURE Certification in the developer path
Exhibit problem-solving skills leading to sound judgment and quality decisions
Ability to obtain security clearance if you do not have it

Preferred
Experience developing and consuming RESTful APIs and other web services
Experience deploying to containerized microservices using docker/podman/apptainer in cloud environments (AWS, Azure, GCP)
Experience with geospatial software packages and databases such as QGIS, ArcGIS, Rasdaman, PostGIS, etc.
Experience with CesiumJS or other web visualization tools
Knowledge of GIS and science data formats (NetCDF, HDF5, GeoJSON, etc.)
Active security clearance

Compensation & Benefits
Paid time off (PT0) and paid holidays
Health/dental/vision insurance packages
401K Benefits
A focus on staff development
An opportunity to join a successful, fast-growth organization - and put your thumb print on our future development
Compensation: $60,000 to $100,000 Annual (based on experience, skills, and equity within the department)

For Applicant Notifications Click Here
_______________________________________________________________________________________

We are an equal opportunity employer. We consider all qualified applicants for positions without regard to race, ethnicity, color, sex, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.

As a government contractor we are subject to COVID-19 regulations."
