Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
Mobile Developer-FULLY REMOTE,"$120,000",4.0,Quimbee,"Charlotte, NC","Industry
Education & Training Services",Education,"Founded in 2007, Quimbee is one of the most widely used e-learning platforms for law students and attorneys in the United States. Quimbee has a massive digital library of content designed to help law students and attorneys succeed, every step of the way. We're looking to expand our team of talented professionals.
Description
Quimbee's tech team works on an agile process and has a great mix of seasoned web backend, frontend, and mobile developers. Quimbee's mobile application is based on React Native, and we make the effort to keep it updated to recent dependencies' versions. We're big believers in automated tests, and while we don't necessarily do test-first, CodeClimate rates our maintenance with an A, and we're pushing to get our code coverage to >90%.
Quimbee is looking for a mobile developer to work on our mobile app's code (React Native, Typescript) in the context of our Ruby on Rails platform, collaborating with our design team to create our screens and with our backend developers to integrate with the JSON-based, REST API.
This position will be REMOTE, from home.
Responsibilities
Maintain and improve our mobile app's code, currently based on React Native with Typescript, writing new features and adapting existing ones, collaborating with our web-platform developers
Grow and maintain our suite of automated tests
Maintain our style guide in collaboration with our design team
Design and write maintainable code following best practices but knowing that most of the time, good enough is better than perfect
Collaborate with teammates, the Project Manager, Product, Design, and QA teams during the whole SDLC, providing technical points of view, effort estimates, drafting and/or reviewing requirements, etc.
Take ownership of assigned projects and be responsible for communicating progress on a regular basis
Participate in scheduled planning, review, retrospective, and 1-on-1 meetings on a regular basis (via videoconferencing technologies)
Investigate issues reported by our automated systems, or our customer support or QA teams, document them and try to determine impact and root cause
Be on-call during special periods
Other duties as assigned
Requirements
B.S. in computer science or related field
2+ years of React Native experience
1+ years of Typescript experience
Experience developing for both iOS and Android platforms
Experience with MobX or a similar state management library
Excellent communication skills
Pay, Perks, and Such:
This position is REMOTE.
Salary. This position will earn a base salary of $100,000-$140,000, commensurate with experience.
Group health insurance coverage.
401k matching up to 4% (100% matching up to 3% and 50% between 3% and 5%).
Unlimited paid time off. Our philosophy is that if you feel you need time off (for example, because of overwork, sickness, personal matters, etc.), we're not going to question that. We just ask that you don't abuse it and that you give us at least two weeks' notice if you plan to be away.
To learn more about how Quimbee protects personal information and complies with data privacy laws, please visit our privacy policy."
Mobile Developer,"$95,000",4.3,Barrow Wise Consulting,United States,"Industry
--",--,"Enjoy problem-solving, need a venue to display your creativity, and emerging technologies pique your interest; if so, Barrow Wise Consulting, LLC is for you. As a multi-disciplined leader, you understand the gifts that set you apart from everyone else. Demonstrate innovative solutions to our clients. Join Barrow Wise Consulting, LLC today.
Responsibilities:
The Mobile Developer will support Barrow Wise's NYC Department of Social Services project and perform the following duties:
Design, develop, and implement mobile applications
Develop the application using C#, .Net, .Net Core, Web API, Angular 12/13/15 and SQL Server 2019 PosGreSQL
Develop the mobile application using Android, Typescript, React, and React Native
Develop application programming interfaces (APIs) that enable applications to communicate with each other
Develop and deploy application design specifications according to business requirements
Develop and design Web Services Applications Architecture in enterprise environments
Design and develop databases that support the application
Provide estimates and manage the work plan for product development
Design and implement reports to track project progress and provide an audit trail of user access and actions performed
Conduct code reviews and provide feedback
Lead technical and cross-functional teams to develop and deploy the mobile application
Conduct and coordinate unit acceptance testing of the application's features and functionality
Develop and transform business requirements into detailed technical deliverables
Analyze issues and identify solutions to technical problems timely
Stay up-to-date with the latest web and mobile development trends and technologies to improve application performance, skills, and knowledge
Use JIRA and the Agile Development Methodology as project management tools for product delivery
Conduct research and prepare proof of concept documents
Work on-site in NYC

An ideal candidate has the following:
U.S. Citizenship
Bachelor's degree in Computer Science, Information Technology, Software Engineering, or a related field
4 Years of experience with ASP.NET, .Net, Web API, Angular, Angular Js, and SQL Server 2016 or PostgreSQL
4 Years of experience working with Amazon Web Services (AWS) and DevOps tools like Octopus and Jenkins
4 Years of experience working with the Apple and Google Play application stores, creating certificates, and managing accounts
4 Years of experience with iOS Design Patterns, JSON RESTFul service, data persistence on Mobile devices, and iOS Appstore submission process
4 Years of experience in iOS application build process, continuous build integration, and code versioning tools such as GitLab and React Native
4 Years of experience with deploying apps to Apple B2B store, enterprise using MDM like AirWatch, Mobile Iron, etc
4 Years of experience working in cross-functional teams
4 Years of experience conducting research and preparing proof of concept documents
4 Years of experience using the Agile methodology and JIRA as project management tools for product delivery

Join the team at Barrow Wise Consulting, LLC, for a fulfilling and engaging experience! Our team is dedicated to providing innovative solutions to our clients in an ethical and diverse work environment. We offer competitive compensation packages, excellent benefits, and opportunities for growth and advancement. Barrow Wise is an equal opportunity, drug-free employer committed to diversity in the workplace. Minority/Female/Disabled/Protected Veteran/LBGT are welcome to apply.
Our employees stand behind Barrow Wise's core values of integrity, quality, innovation, and diversity. We are confident that Barrow Wise's core values, business model, and team focus create positive career paths for our employees. Barrow Wise will continue to lead the industry in delivering new solutions to clients and persevere until the client is overjoyed."
Mobile Developer - 5056922,-1,-1,Accenture,"Arlington, VA",-1,-1,"Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE's 100 Best Companies to Work For and Diversity Inc's Top 50 Companies For Diversity lists.
As an Accenture Flex employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for Accenture's clients, you will work with a highly skilled, diverse network of people across Accenture businesses who are using the latest emerging technologies to address today's biggest business challenges.
You will receive competitive rewards and access to benefits programs and world-class learning resources. Accenture Flex employees work in their local metro area onsite at the project, significantly reducing and/or eliminating the demands to travel.
Key Responsibilities:
Build mobile applications as part of a diverse team, integrating with bluetooth devices to read health data. Integrate with backend services to synchronize data from multiple sources."
Mobile Developer,-1,-1,EX2 Outcoding,Remote,-1,-1,"Become an Outcoder as a Mobile Developer
We are looking for a qualified Mobile Developer to join our Engineering team. You will work with our engineers to develop and maintain high-quality mobile applications. We want to meet you if you’re passionate about mobile platforms and translating code into user-friendly apps. As a Mobile Developer, you’ll collaborate with internal teams to develop functional mobile applications while working in a fast-paced environment. Ultimately, you should be able to design and build the next generation of our mobile applications.
What you’ll need to be successful:
Proven work experience as a Mobile Developer
Demonstrable portfolio of released applications on the App Store or the Android market
In-depth knowledge of at least one programming language (React Native, Xamarin, Flutter, Swift)
Experience with third-party libraries and APIs
Familiarity with OOP design principles
Excellent analytical skills with a good problem-solving attitude
Ability to perform in a team environment
BSc degree in Computer Science or relevant field
About us: EX² Outcoding is a premier solution provider of a broad range of outsourcing services, combining proven expertise in technology and project execution for companies searching for high-quality software development solutions. We specialize in delivering the best technical solution and enhancing that solution creatively by working closely with stakeholders to understand the business context.
#LI-REMOTE"
Mobile Developer,-1,4.0,TOVIA,"Santa Monica, CA","Industry
--",--,"Take our existing products and projects to phones and tablets by creating cutting-edge mobile apps and the server-side technology required to run them.
Requirements include: Mobile experience developing user interfaces and low-level systems (such as networking and storage), experience developing and launching at least one app of high quality, a familiarity with backend technologies (backend development experiece is a plus but not a requirement), and strong programming skills in Objective-C, Java, and knowledge of development for iOS and/or Android. Must be a self-starter and comfortable working from home."
Part-Time Mobile App Developer,$60.00,5.0,Viderity Inc.,"Washington, DC","Industry
Information Technology Support Services",Information Technology,"Viderity is an award-winning consulting firm that provides IT and outreach services to federal agencies and commercial organizations. You'll be working with a friendly and whip-smart team supporting a well-known organization responsible for exciting discoveries ranging from the first internet browser to black holes to the first semiconductor!
Job Description:
As a Part-Time Mobile Developer, you'll design, develop, test, and maintain the data visualization apps we build. Your expertise in Android and iPhone development, coupled with your ability to transform complex data into intuitive, custom-coded visual representations, will be instrumental. Your proficiency in languages such as Java, Kotlin, Swift, or React Native will help you create mobile applications that meet and exceed standards for usability and functionality.
Qualifications:
Authorized to work in the United States and fluent in English.
Excellent, customer-service-oriented verbal and written communication skills.
Proven experience in mobile application development for Android and iPhone platforms.
Demonstrated success in designing and implementing effective data visualization solutions for mobile.
Proficiency in programming languages commonly used in mobile development.
Strong problem-solving skills and a creative mindset.
Availability for part-time engagement with a flexible schedule. Hours will range from 0 to 40 weekly, with development cycles requiring up to 3 months and occurring once or twice per year.
Required: Provide links to your data visualization mobile apps you've designed and developed.
Rate: $40-$80 per hour"
Mobile Developer (.NET MAUI/Xamarin),-1,-1,Ko-fi,Remote,-1,-1,"Job Posted
December 8, 2022 1:47 AM
Location
Remote
Europe/Asia Timezones
Status
Open
Strictly no agencies or recruiters please! We only want to hear from applicants directly.
What’s Ko-fi?
Ko-fi is the go-to platform for indie creators to make money doing what they love.
So far Ko-fi Creators have earned $200 Million from Donations, Memberships and sales of products and Commissions. We grew over 60% in 2022.
We started in 2012, before the “Creator Economy” was even a thing. Now, millions of people visit the service that has helped fund hundreds of thousands of creators.
Learn more about Ko-fi with:
This Recap of 2022
This Interview with a co-founder
These latest Tweets
Things you’ll do
Work directly with Nigel, Ko-fi’s original founder and the rest of the product team. Learn and teach each other while doing your best work and building a platform to help creators across the globe to do what they love.
Develop new core features. From innovative payment technologies, to supporter management features and mobile apps. You will be leading high-impact projects at the heart of Ko-fi.
Integrate with the best consumer technologies. Integrate Ko-fi with streaming tools, social sites and website building software.
Ship every week. You’ll have access to the full code base to improve the product and see your work in the hands of millions of users.
Who we’re looking for
You are self motivated and eager to ship your best work.
You must have a strong development background with at least four years real-world experience in Xamarin and at least some experience with MAUI and C# ASP.NET MVC.
You’ve developed clean and maintainable, ideally consumer-facing .NET projects deployed at scale.
You aren’t afraid of the front end. You’re happy to dive into the front end on a regular basis and you already have a demonstrable knowledge of HTML, CSS, JavaScript.
You’re good at prioritising. You are always looking for ways to make a product better while also taking a considered approach to priorities to ensure the right things get worked on.
You're resourceful. You ‘pull’ the information and guidance you need rather than waiting for it to be ‘pushed’ to you. You seek new and innovative ways of improving the product, the team and the way we do things without waiting to be told what to do or how to do it.
You ship. You have a bias towards action, and you will be eager to deploy your work. You test enough to be confident, but you don’t procrastinate.
Extra Credit. You’re a creator of some kind yourself.
The tech stack
We use new technologies wherever it makes sense, but the core stack is:
C# .NET MVC
Xamarin / Maui
SQL Server, Entity Framework
Azure
HTML , JavaScript, CSS
Benefits
Work remotely. Developers are currently located in UK, Belgium and Thailand so you will spend most of your time working remotely. If you want to work from a co-working space, we’ll cover that too.
Flexibility. We have two meetings per week, but other than that work when and where you’re most productive.
Competitive compensation. Depending upon demonstrable experience.
Bonuses. Get regular bonuses for significant contributions and when the company does well.
Share Options. Opportunity to earn a slice of Ko-fi after 6 months.
Training Budget. We will fund relevant training to help you be better at what you do.
Your Work is Seen by Millions. Do the best, most rewarding work of your life and have it seen by millions.
Choose Your Own Kit. Pick the tools you need to do great work.
Paid Leave. 25 days + National Holidays paid time off.
How to apply
Does this role sound like a good fit?
Step 1. Please complete this simple form including links to recent work and relevant experience.
Step 2. If we like your application we will reply back within a week to invite you to an informal intro video chat where you’ll meet one of the founders, talk about the role, your background, aspirations and projects you’ve worked on.
Step 3. If both parties think there is a good fit then we’ll send you a short challenge relevant to the job and remunerate you for your time.
Step 4. Offer terms finalised and welcome aboard!"
Senior Developer - iOS Mobile Applications,-1,3.9,United Airlines,"Houston, TX","Industry
Airlines, Airports & Air Transportation",Transportation & Logistics,"Description
There’s never been a more exciting time to join United Airlines! We’re on a path towards becoming the best airline in the history of aviation. And we’re growing – in the years ahead, we’ll hire tens of thousands of people across every area of the airline. Our careers include competitive benefits package aimed at keeping you happy, healthy, and well-traveled. From employee-run ""Business Resource Group"" communities to elite benefits like parental leave, 401k, and privileges like space available travel, United is truly a one-of-a-kind place to work. Are you ready to travel the world?
We believe that inclusion propels innovation and is the foundation of all that we do. United's Digital Technology team spans the globe and is made up of diverse individuals all working together with pioneering technology to make United the best airline in the history of aviation.
Will prioritize candidates local to Houston area first. This is a hybrid role and requires some onsite as needed.


Job overview and responsibilities
Mobile is the future. If you're interested in a career that involves using the latest Mobile and most modern technologies, please look no further. United is seeking versatile and motivated Mobile developers to be a part of their teams in Houston, TX. The Digital Innovation Mobile Developer will partner with the eCommerce team and IT to develop, program, and test various projects dealing with the latest Mobile technologies. In the evolving Digital eCommerce space, new Mobile technologies appear in the market at a frequent pace. This changing landscape requires a versatile team that is in touch with the market, passionate about new technology, while at the same time able to understand the needs of our customers and how emerging technology can improve the customer experience.
Collaborate closely with the eCommerce team and IT to plan and implement a range of projects centered around innovative mobile technologies.
Manage the entire lifecycle of mobile applications, from conceptualization and design to development, deployment, testing, release on app stores, and ongoing support.
Possess a profound understanding of iPhone frameworks.
Deliver pioneering iOS mobile experiences across the different functions
Understand back-end system/services to access when building out fronts for testing
Ability to creatively architect and design programs to meet the goals and requirements of various projects
Quickly integrate and update projects
Contribute to team efforts by completing project tasks on schedule and collaborating with fellow developers.
These solutions are critical and crucial to various front-end as well as server based applications
Provide technical insight on existing mobile platforms to improve performance, availability and utilization optimizations
Performs research and development to evaluate emerging technologies and their potential to optimize the platform
Evaluate, suggest and implement third party software as needed
Make efficient use of source control and bug tracking systems
Reviews estimates for software development and delivery to ensure quality and accuracy
Unit-test code for robustness, including edge cases, usability and general reliability
Partner with the eCommerce Innovation and IT teams to test and iterate on developed software and programs
Prepare projects for hand-off and deployments as “proof concepts” move to production
Ability to quickly adapt to changes and learning from field testing
Participate in mentoring and skills transfer to junior members of the team
Participate in software code reviews to ensure the creation of high-quality, robust code by all team members
Provide tier 3 support for all mobile platforms when needed
United Airlines is an equal opportunity employer. United Airlines recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender identity, sexual orientation, physical ability, age, veteran status, and other protected status as required by applicable law
Qualifications
Required
Bachelor's degree in Computer Science or Information Systems
A minimum of 5 years of experience in software application design, development, installation, and modification.
At least 2 years of hands-on experience with iPhone development platforms.
Experience developing native iOS Apps: Objective-C, iOS SDK, and XCODE
Strong problem solving and analytical skills are essential
Demonstrated ability to manage multiple priorities and work in a fast-paced and dynamic environment.
Self-motivated with excellent communication skills and a collaborative team-oriented approach
Basic knowledge of networking is an asset
Must be legally authorized to work in the United States for any employer without sponsorship
Reliable, punctual attendance is an essential function of the position

Equal Opportunity Employer - Minorities/Women/Veterans/Disabled/LGBT"
UI/UX/Mobile Developer,-1,3.4,Novisync,"Dallas, TX","Industry
Computer Hardware Development",Information Technology,"Location:
Dallas TX USA
Duration:
1 year
Start Date:
12/01/2023
Work Authorization:
Open
Experience Needed:
No
We are actively seeking a skilled UI/UX/Mobile Developer to join our team. If you have a passion for designing and developing visually stunning and user-friendly mobile interfaces, we want to hear from you. Bring your creative flair and technical expertise to contribute to our innovative digital experiences. Join us and play a pivotal role in shaping the future of our mobile applications. Your talent could be the missing piece we need!
Open to everyone."
Mobile Developer II,-1,3.7,"Sub-Zero Group, Inc.","Madison, WI","Industry
Consumer Product Manufacturing",Manufacturing,"Sub-Zero, Wolf, and Cove the leading manufacturer of luxury kitchen appliances is a longstanding, family-owned company in the Madison area. Icons of design and paragons of performance and quality, Sub-Zero, Wolf, and Cove are the refrigeration, cooking, and dishwashing specialists found in world’s most luxurious homes. We look for team members who are driven by innovation and excellence, striving to serve our customers by doing what is right—with integrity, teamwork, and accountability.
Growth and development are important aspects of this position. Whether you aspire to be a leader or a technical expert, this position will set you up for success in the future.

Primary Responsibilities
We are seeking a motivated individual to work as an IOS or Android Mobile Application Developer. Candidates will participate on a team to develop and maintain mobile application software.
This position requires a strong understanding of quality software delivery, internal and external customer needs, and the ability to translate business needs into technical requirements. Since this position will deal with both technical personnel and business managers, as well as participate on project teams, strong interpersonal and communication skills are needed.
Must be detail oriented, have strong analytical and problem-solving abilities.
Must understand and conceptualize applications from both a technical/programming perspective and a business point of view.
Perform all or part of the software development life cycle and follow a methodology.
Reviews, analyzes, and modifies programming systems including coding, testing, debugging and installing to support an organization's application systems.
The role’s primarily responsible for supporting the development, maintenance, and deployment of business facing & factory customer mobile applications.
Gather data and analyze business and user needs in consultation with both business managers and end-users
Must be able to work independently and as a part of a development team working on small, medium, large and enterprise projects.
Analyze business application requirements for functional business areas.
Gather business requirements and develop specifications for software solutions
Possess strong interview skills. Interview project stakeholders, document findings and make detailed recommendations.
Has knowledge of commonly-used concepts, practices, and procedures within a particular field.
A thorough understanding of relational database practices.
Familiarity and significant experience with major enterprise database programs such as SQL Server or DB2.
Able to develop database objects and structures for data storage, retrieval and reporting according to project specifications.
Design and develop back end database interfaces to web, e-commerce, & IoT applications.
Familiar with data modeling tools and methodologies, and knowledgeable in database system applications and stored procedures.
Analyze organizational data requirements and create logical and physical data flow models.
Address data quality issues with clients and management.
Relies on experience and judgment to plan and accomplish goals.
Performs a variety of complicated tasks.
A wide degree of creativity and latitude is expected.
Will provide third level application support for any help desk tickets that cannot be answered by the Jr Developers or help desk team.
Write code and debug software applications
Write IT test plans and execute IT & Business created test plans
Develop software prototypes
Recommend system changes and enhancements
Serve as a model and mentor to IT-Co-op developers and other developers that are less experienced.
Stay on top of industry changes, recommend and implement industry best practices

We value our employees by providing:
Competitive compensation based on skills
Industry leading health, dental, and vision plans
Generous 401 (K) savings and profit sharing
On-site UW Health clinic, fitness center, and walking paths
Education assistance and internal training programs
Electric vehicle charging
Maternity & paternity leave
Interested in learning more on our robust benefits package we offer? Click here!
Experience
Required
Agile and DevOps methodology
IOT/Connected Appliances
Mobile Development
Cloud Services
Enterprise CMS
Languages such as C#, ASP .Net, JavaScript, AJAX.
Education
Required
Bachelors or better in Software Engineering or related field
Bachelors or better in Electrical Engineering or related field"
